Journal Title,e-ISSN ,Open Access Status,Included in R&P agreement,Explanation if not included,Subject,Publisher,Agreement Duration
Composites Part B: Engineering,1359-8368,Hybrid,Y,,,Elsevier,2023-2025
Composites Science and Technology,0266-3538,Hybrid,Y,,,Elsevier,2023-2025
Computational and Theoretical Chemistry,2210-271X,Hybrid,Y,,,Elsevier,2023-2025
Computational Biology and Chemistry,1476-9271,Hybrid,Y,,,Elsevier,2023-2025
Computational Condensed Matter,2352-2143,Hybrid,Y,,,Elsevier,2023-2025
Computational Geometry,0925-7721,Hybrid,Y,,,Elsevier,2023-2025
Computational Materials Science,0927-0256,Hybrid,Y,,,Elsevier,2023-2025
Computational Statistics & Data Analysis,0167-9473,Hybrid,Y,,,Elsevier,2023-2025
Computational Toxicology,2468-1113,Hybrid,Y,,,Elsevier,2023-2025
Computer Aided Geometric Design,0167-8396,Hybrid,Y,,,Elsevier,2023-2025
Computer Communications,0140-3664,Hybrid,Y,,,Elsevier,2023-2025
Computer Law & Security Review,2212-473X,Hybrid,Y,,,Elsevier,2023-2025
Computer Methods and Programs in Biomedicine,0169-2607,Hybrid,Y,,,Elsevier,2023-2025
Computer Methods in Applied Mechanics and Engineering,0045-7825,Hybrid,Y,,,Elsevier,2023-2025
Computer Networks,1389-1286,Hybrid,Y,,,Elsevier,2023-2025
Computer Physics Communications,0010-4655,Hybrid,Y,,,Elsevier,2023-2025
Computer Science Review,1574-0137,Hybrid,Y,,,Elsevier,2023-2025
Computer Speech and Language,0885-2308,Hybrid,Y,,,Elsevier,2023-2025
Computer Standards & Interfaces,0920-5489,Hybrid,Y,,,Elsevier,2023-2025
Computer Vision and Image Understanding,1077-3142,Hybrid,Y,,,Elsevier,2023-2025
Computer-Aided Design,0010-4485,Hybrid,Y,,,Elsevier,2023-2025
Computerized Medical Imaging and Graphics,0895-6111,Hybrid,Y,,,Elsevier,2023-2025
Computers & Chemical Engineering,0098-1354,Hybrid,Y,,,Elsevier,2023-2025
Computers & Education,0360-1315,Hybrid,Y,,,Elsevier,2023-2025
Computers & Electrical Engineering,0045-7906,Hybrid,Y,,,Elsevier,2023-2025
Computers & Fluids,0045-7930,Hybrid,Y,,,Elsevier,2023-2025
Computers & Geosciences,0098-3004,Hybrid,Y,,,Elsevier,2023-2025
Computers & Graphics,0097-8493,Hybrid,Y,,,Elsevier,2023-2025
Computers & Industrial Engineering,0360-8352,Hybrid,Y,,,Elsevier,2023-2025
Computers & Mathematics with Applications,0898-1221,Hybrid,Y,,,Elsevier,2023-2025
Computers & Operations Research,0305-0548,Hybrid,Y,,,Elsevier,2023-2025
Computers & Security,0167-4048,Hybrid,Y,,,Elsevier,2023-2025
Computers & Structures,0045-7949,Hybrid,Y,,,Elsevier,2023-2025
Computers and Composition,8755-4615,Hybrid,Y,,,Elsevier,2023-2025
Computers and Electronics in Agriculture,0168-1699,Hybrid,Y,,,Elsevier,2023-2025
Computers and Geotechnics,0266-352X,Hybrid,Y,,,Elsevier,2023-2025
Computers in Biology and Medicine,0010-4825,Hybrid,Y,,,Elsevier,2023-2025
Computers in Human Behavior,0747-5632,Hybrid,Y,,,Elsevier,2023-2025
Computers in Industry,0166-3615,Hybrid,Y,,,Elsevier,2023-2025
"Computers, Environment and Urban Systems",0198-9715,Hybrid,Y,,,Elsevier,2023-2025
Consciousness and Cognition,1053-8100,Hybrid,Y,,,Elsevier,2023-2025
Construction and Building Materials,0950-0618,Hybrid,Y,,,Elsevier,2023-2025
Contact Lens & Anterior Eye,1367-0484,Hybrid,Y,,,Elsevier,2023-2025
Contemporary Clinical Trials,1551-7144,Hybrid,Y,,,Elsevier,2023-2025
Contemporary Educational Psychology,0361-476X,Hybrid,Y,,,Elsevier,2023-2025
Continental Shelf Research,0278-4343,Hybrid,Y,,,Elsevier,2023-2025
Contraception,0010-7824,Hybrid,Y,,,Elsevier,2023-2025
Control Engineering Practice,0967-0661,Hybrid,Y,,,Elsevier,2023-2025
Coordination Chemistry Reviews,0010-8545,Hybrid,Y,,,Elsevier,2023-2025
Corrosion Science,0010-938X,Hybrid,Y,,,Elsevier,2023-2025
Cortex,0010-9452,Hybrid,Y,,,Elsevier,2023-2025
Cretaceous Research,0195-6671,Hybrid,Y,,,Elsevier,2023-2025
Critical Perspectives on Accounting,1045-2354,Hybrid,Y,,,Elsevier,2023-2025
Critical Reviews in Oncology/Hematology,1040-8428,Hybrid,Y,,,Elsevier,2023-2025
Crop Protection,0261-2194,Hybrid,Y,,,Elsevier,2023-2025
Cryobiology,0011-2240,Hybrid,Y,,,Elsevier,2023-2025
Cryogenics,0011-2275,Hybrid,Y,,,Elsevier,2023-2025
Current Applied Physics,1567-1739,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Behavioral Sciences,2352-1546,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Biomedical Engineering,2468-4511,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Biotechnology,0958-1669,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Cell Biology,0955-0674,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Chemical Biology,1367-5931,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Chemical Engineering,2211-3398,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Colloid & Interface Science,1359-0294,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Electrochemistry,2451-9103,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Endocrine and Metabolic Research,2451-9650,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Environmental Science & Health,2468-5844,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Environmental Sustainability,1877-3435,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Food Science,2214-7993,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Genetics & Development,0959-437X,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Green and Sustainable Chemistry,2452-2236,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Immunology,0952-7915,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Insect Science,2214-5745,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Microbiology,1369-5274,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Neurobiology,0959-4388,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Pharmacology,1471-4892,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Physiology,2468-8673,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Plant Biology,1369-5266,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Psychology,2352-250X,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Solid State & Materials Science,1359-0286,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Structural Biology,0959-440X,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Systems Biology,2452-3100,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Toxicology,2468-2020,Hybrid,Y,,,Elsevier,2023-2025
Current Opinion in Virology,1879-6257,Hybrid,Y,,,Elsevier,2023-2025
Current Problems in Cancer,0147-0272,Hybrid,Y,,,Elsevier,2023-2025
Current Problems in Cardiology,0146-2806,Hybrid,Y,,,Elsevier,2023-2025
Current Problems in Diagnostic Radiology,0363-0188,Hybrid,Y,,,Elsevier,2023-2025
Current Problems in Pediatric and Adolescent Health Care,1538-5442,Hybrid,Y,,,Elsevier,2023-2025
Current Problems in Surgery,0011-3840, Gold,N,APC discount available,,Elsevier,2023-2025
Current Research in Translational Medicine,2452-3186,Hybrid,Y,,,Elsevier,2023-2025
Currents in Pharmacy Teaching and Learning,1877-1297,Hybrid,Y,,,Elsevier,2023-2025
Cytokine,1043-4666,Hybrid,Y,,,Elsevier,2023-2025
Cytokine & Growth Factor Reviews,1359-6101,Hybrid,Y,,,Elsevier,2023-2025
Cytotherapy,1465-3249,Hybrid,Y,,,Elsevier,2023-2025
Data & Knowledge Engineering,0169-023X,Hybrid,Y,,,Elsevier,2023-2025
Decision Support Systems,0167-9236,Hybrid,Y,,,Elsevier,2023-2025
Deep-Sea Research Part I: Oceanographic Research Papers,0967-0637,Hybrid,Y,,,Elsevier,2023-2025
Deep-Sea Research Part II: Topical Studies in Oceanography,0967-0645,Hybrid,Y,,,Elsevier,2023-2025
Dendrochronologia,1125-7865,Hybrid,Y,,,Elsevier,2023-2025
Dental Materials,0109-5641,Hybrid,Y,,,Elsevier,2023-2025
Desalination,0011-9164,Hybrid,Y,,,Elsevier,2023-2025
Design Studies,0142-694X,Hybrid,Y,,,Elsevier,2023-2025
Development and Sustainability in Economics and Finance,2950-5240,Hybrid,Y,,,Elsevier,2023-2025
Developmental & Comparative Immunology,0145-305X,Hybrid,Y,,,Elsevier,2023-2025
Developmental Biology,0012-1606,Hybrid,Y,,,Elsevier,2023-2025
Developmental Review,0273-2297,Hybrid,Y,,,Elsevier,2023-2025
Diabetes & Metabolic Syndrome: Clinical Research & Reviews,1871-4021,Hybrid,Y,,,Elsevier,2023-2025
Diabetes & Metabolism,1262-3636,Hybrid,Y,,,Elsevier,2023-2025
Diabetes Research and Clinical Practice,0168-8227,Hybrid,Y,,,Elsevier,2023-2025
Diagnostic and Interventional Imaging,2211-5684,Hybrid,Y,,,Elsevier,2023-2025
Diagnostic Microbiology and Infectious Disease,0732-8893,Hybrid,Y,,,Elsevier,2023-2025
Diamond and Related Materials,0925-9635,Hybrid,Y,,,Elsevier,2023-2025
Differential Geometry and its Applications,0926-2245,Hybrid,Y,,,Elsevier,2023-2025
Differentiation,0301-4681,Hybrid,Y,,,Elsevier,2023-2025
Digestive and Liver Disease,1590-8658,Hybrid,Y,,,Elsevier,2023-2025
Digital Applications in Archaeology and Cultural Heritage,2212-0548,Hybrid,Y,,,Elsevier,2023-2025
Digital Signal Processing,1051-2004,Hybrid,Y,,,Elsevier,2023-2025
Disability and Health Journal,1936-6574,Hybrid,Y,,,Elsevier,2023-2025
"Discourse, Context & Media",2211-6958,Hybrid,Y,,,Elsevier,2023-2025
Discrete Applied Mathematics,0166-218X,Hybrid,Y,,,Elsevier,2023-2025
Discrete Mathematics,0012-365X,Hybrid,Y,,,Elsevier,2023-2025
Discrete Optimization,1572-5286,Hybrid,Y,,,Elsevier,2023-2025
Disease-A-Month,0011-5029,Hybrid,Y,,,Elsevier,2023-2025
Displays,0141-9382,Hybrid,Y,,,Elsevier,2023-2025
DNA Repair,1568-7864,Hybrid,Y,,,Elsevier,2023-2025
Domestic Animal Endocrinology,0739-7240,Hybrid,Y,,,Elsevier,2023-2025
Douleurs,1624-5687,Hybrid,Y,,,Elsevier,2023-2025
Drug and Alcohol Dependence,0376-8716,Hybrid,Y,,,Elsevier,2023-2025
Drug Discovery Today,1359-6446,Hybrid,Y,,,Elsevier,2023-2025
Drug Metabolism and Disposition,0090-9556,Hybrid,Y,,,Elsevier,2023-2025
Drug Metabolism and Pharmacokinetics,1347-4367,Hybrid,Y,,,Elsevier,2023-2025
Drug Resistance Updates,1368-7646,Hybrid,Y,,,Elsevier,2023-2025
Dyes and Pigments,0143-7208,Hybrid,Y,,,Elsevier,2023-2025
Dynamics of Atmospheres and Oceans,0377-0265,Hybrid,Y,,,Elsevier,2023-2025
Early Childhood Research Quarterly,0885-2006,Hybrid,Y,,,Elsevier,2023-2025
Early Human Development,0378-3782,Hybrid,Y,,,Elsevier,2023-2025
Earth and Planetary Science Letters,0012-821X,Hybrid,Y,,,Elsevier,2023-2025
Earth-Science Reviews,0012-8252,Hybrid,Y,,,Elsevier,2023-2025
Eating Behaviors,1471-0153,Hybrid,Y,,,Elsevier,2023-2025
Ecohydrology & Hydrobiology,1642-3593,Hybrid,Y,,,Elsevier,2023-2025
Ecological Complexity,1476-945X,Hybrid,Y,,,Elsevier,2023-2025
Ecological Economics,0921-8009,Hybrid,Y,,,Elsevier,2023-2025
Ecological Engineering,0925-8574,Hybrid,Y,,,Elsevier,2023-2025
Ecological Frontiers,2950-5097,Hybrid,Y,,,Elsevier,2023-2025
Ecological Genetics and Genomics,2405-9854,Hybrid,Y,,,Elsevier,2023-2025
Ecological Informatics,1574-9541, Gold,N,APC discount available,,Elsevier,2023-2025
Ecological Modelling,0304-3800,Hybrid,Y,,,Elsevier,2023-2025
Econometrics and Statistics,2452-3062,Hybrid,Y,,,Elsevier,2023-2025
Economic Analysis and Policy,0313-5926,Hybrid,Y,,,Elsevier,2023-2025
Economic Modelling,0264-9993,Hybrid,Y,,,Elsevier,2023-2025
Economic Systems,0939-3625,Hybrid,Y,,,Elsevier,2023-2025
Economics & Human Biology,1570-677X,Hybrid,Y,,,Elsevier,2023-2025
Economics Letters,0165-1765,Hybrid,Y,,,Elsevier,2023-2025
Economics of Education Review,0272-7757,Hybrid,Y,,,Elsevier,2023-2025
Economics of Transportation,2212-0122,Hybrid,Y,,,Elsevier,2023-2025
Ecosystem Services,2212-0416,Hybrid,Y,,,Elsevier,2023-2025
Education for Chemical Engineers,1749-7728,Hybrid,Y,,,Elsevier,2023-2025
Educational Research Review,1747-938X,Hybrid,Y,,,Elsevier,2023-2025
Electoral Studies,0261-3794,Hybrid,Y,,,Elsevier,2023-2025
Electric Power Systems Research,0378-7796,Hybrid,Y,,,Elsevier,2023-2025
Electrochimica Acta,0013-4686,Hybrid,Y,,,Elsevier,2023-2025
Electronic Commerce Research and Applications,1567-4223,Hybrid,Y,,,Elsevier,2023-2025
Emerging Markets Review,1566-0141,Hybrid,Y,,,Elsevier,2023-2025
"Emotion, Space and Society",1755-4586,Hybrid,Y,,,Elsevier,2023-2025
Endeavour,0160-9327,Hybrid,Y,,,Elsevier,2023-2025
Endocrine Practice,1530-891X,Hybrid,Y,,,Elsevier,2023-2025
"Endocrinología, Diabetes y Nutrición",2530-0164,Hybrid,Y,,,Elsevier,2023-2025
"Endocrinología, Diabetes y Nutrición (English Edition)",2530-0180,Hybrid,Y,,,Elsevier,2023-2025
Energy,0360-5442,Hybrid,Y,,,Elsevier,2023-2025
Energy 360,2950-4872,Hybrid,Y,,,Elsevier,2023-2025
Energy and Buildings,0378-7788,Hybrid,Y,,,Elsevier,2023-2025
Energy and Climate Change,2666-2787,Hybrid,Y,,,Elsevier,2023-2025
Energy Conversion and Management,0196-8904,Hybrid,Y,,,Elsevier,2023-2025
Energy Economics,0140-9883,Hybrid,Y,,,Elsevier,2023-2025
Energy for Sustainable Development,0973-0826,Hybrid,Y,,,Elsevier,2023-2025
Energy Policy,0301-4215,Hybrid,Y,,,Elsevier,2023-2025
Energy Research & Social Science,2214-6296,Hybrid,Y,,,Elsevier,2023-2025
Energy Storage Materials,2405-8297,Hybrid,Y,,,Elsevier,2023-2025
EnergyChem,2589-7780,Hybrid,Y,,,Elsevier,2023-2025
Enfermedades Infecciosas y Microbiología Clínica,0213-005X,Hybrid,Y,,,Elsevier,2023-2025
Enfermedades Infecciosas y Microbiología Clínica (English Edition),2529-993X,Hybrid,Y,,,Elsevier,2023-2025
Enfermería Clínica,1130-8621,Hybrid,Y,,,Elsevier,2023-2025
Enfermería Clínica (English Edition),2445-1479,Hybrid,Y,,,Elsevier,2023-2025
Enfermería intensiva,1130-2399,Hybrid,Y,,,Elsevier,2023-2025
Enfermería Intensiva (English Edition),2529-9840,Hybrid,Y,,,Elsevier,2023-2025
Engineering Analysis with Boundary Elements,0955-7997,Hybrid,Y,,,Elsevier,2023-2025
Engineering Applications of Artificial Intelligence,0952-1976,Hybrid,Y,,,Elsevier,2023-2025
Engineering Failure Analysis,1350-6307,Hybrid,Y,,,Elsevier,2023-2025
Engineering Fracture Mechanics,0013-7944,Hybrid,Y,,,Elsevier,2023-2025
Engineering Geology,0013-7952,Hybrid,Y,,,Elsevier,2023-2025
Engineering Structures,0141-0296,Hybrid,Y,,,Elsevier,2023-2025
English for Specific Purposes,0889-4906,Hybrid,Y,,,Elsevier,2023-2025
Entertainment Computing,1875-9521,Hybrid,Y,,,Elsevier,2023-2025
Environmental and Experimental Botany,0098-8472, Gold,N,APC discount available,,Elsevier,2023-2025
Environmental Development,2211-4645,Hybrid,Y,,,Elsevier,2023-2025
Environmental Impact Assessment Review,0195-9255,Hybrid,Y,,,Elsevier,2023-2025
Environmental Innovation and Societal Transitions,2210-4224,Hybrid,Y,,,Elsevier,2023-2025
Environmental Modelling & Software,1364-8152,Hybrid,Y,,,Elsevier,2023-2025
"Environmental Nanotechnology, Monitoring and Management",2215-1532,Hybrid,Y,,,Elsevier,2023-2025
Environmental Pollution,0269-7491,Hybrid,Y,,,Elsevier,2023-2025
Environmental Research,0013-9351,Hybrid,Y,,,Elsevier,2023-2025
Environmental Science & Policy,1462-9011,Hybrid,Y,,,Elsevier,2023-2025
Environmental Toxicology and Pharmacology,1382-6689,Hybrid,Y,,,Elsevier,2023-2025
Enzyme and Microbial Technology,0141-0229,Hybrid,Y,,,Elsevier,2023-2025
Epilepsy & Behavior,1525-5050,Hybrid,Y,,,Elsevier,2023-2025
Epilepsy Research,0920-1211,Hybrid,Y,,,Elsevier,2023-2025
"Estuarine, Coastal and Shelf Science",0272-7714,Hybrid,Y,,,Elsevier,2023-2025
"Ethics, Medicine & Public Health",2352-5525,Hybrid,Y,,,Elsevier,2023-2025
Éthique & Santé,1765-4629,Hybrid,Y,,,Elsevier,2023-2025
eTransportation,2590-1168,Hybrid,Y,,,Elsevier,2023-2025
"European Annals of Otorhinolaryngology, Head and Neck Diseases",1879-7296,Hybrid,Y,,,Elsevier,2023-2025
European Economic Review,0014-2921,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Agronomy,1161-0301,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Cancer,0959-8049,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Combinatorics,0195-6698,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Control,0947-3580,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Integrative Medicine,1876-3820,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Internal Medicine,0953-6205,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Mechanics - A/Solids,0997-7538,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Mechanics - B/Fluids,0997-7546,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Medical Genetics,1769-7212, Gold,N,APC discount available,,Elsevier,2023-2025
European Journal of Medicinal Chemistry,0223-5234,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Obstetrics & Gynecology and Reproductive Biology,0301-2115,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Oncology Nursing,1462-3889,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Operational Research,0377-2217,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Paediatric Neurology,1090-3798,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Pharmaceutics and Biopharmaceutics,0939-6411,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Pharmacology,0014-2999,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Political Economy,0176-2680,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Protistology,0932-4739,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Radiology,0720-048X,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Soil Biology,1164-5563,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Surgical Oncology,0748-7983,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Trauma & Dissociation,2468-7499,Hybrid,Y,,,Elsevier,2023-2025
European Journal of Vascular and Endovascular Surgery,1078-5884,Hybrid,Y,,,Elsevier,2023-2025
European Management Journal,0263-2373,Hybrid,Y,,,Elsevier,2023-2025
European Neuropsychopharmacology,0924-977X,Hybrid,Y,,,Elsevier,2023-2025
European Polymer Journal,0014-3057,Hybrid,Y,,,Elsevier,2023-2025
European Review of Applied Psychology,1162-9088,Hybrid,Y,,,Elsevier,2023-2025
European Urology,0302-2838,Hybrid,Y,,,Elsevier,2023-2025
European Urology Focus,2405-4569,Hybrid,Y,,,Elsevier,2023-2025
European Urology Oncology,2588-9311,Hybrid,Y,,,Elsevier,2023-2025
Evaluation and Program Planning,0149-7189,Hybrid,Y,,,Elsevier,2023-2025
Evolution and Human Behavior,1090-5138,Hybrid,Y,,,Elsevier,2023-2025
Experimental and Molecular Pathology,0014-4800, Gold,N,APC discount available,,Elsevier,2023-2025
Experimental Cell Research,0014-4827,Hybrid,Y,,,Elsevier,2023-2025
Experimental Eye Research,0014-4835,Hybrid,Y,,,Elsevier,2023-2025
Experimental Gerontology,0531-5565, Gold,N,APC discount available,,Elsevier,2023-2025
Experimental Hematology,0301-472X,Hybrid,Y,,,Elsevier,2023-2025
Experimental Neurology,0014-4886,Hybrid,Y,,,Elsevier,2023-2025
Experimental Parasitology,0014-4894,Hybrid,Y,,,Elsevier,2023-2025
Experimental Thermal and Fluid Science,0894-1777,Hybrid,Y,,,Elsevier,2023-2025
Expert Systems with Applications,0957-4174,Hybrid,Y,,,Elsevier,2023-2025
Explorations in Economic History,0014-4983,Hybrid,Y,,,Elsevier,2023-2025
EXPLORE,1550-8307,Hybrid,Y,,,Elsevier,2023-2025
Expositiones Mathematicae,0723-0869,Hybrid,Y,,,Elsevier,2023-2025
Extreme Mechanics Letters,2352-4316,Hybrid,Y,,,Elsevier,2023-2025
F&S Reviews,2666-5719,Hybrid,Y,,,Elsevier,2023-2025
F&S Science,2666-335X,Hybrid,Y,,,Elsevier,2023-2025
Fertility and Sterility,0015-0282,Hybrid,Y,,,Elsevier,2023-2025
Field Crops Research,0378-4290,Hybrid,Y,,,Elsevier,2023-2025
Finance Research Letters,1544-6123,Hybrid,Y,,,Elsevier,2023-2025
Finite Elements in Analysis and Design,0168-874X,Hybrid,Y,,,Elsevier,2023-2025
Finite Fields and Their Applications,1071-5797,Hybrid,Y,,,Elsevier,2023-2025
Fire Safety Journal,0379-7112,Hybrid,Y,,,Elsevier,2023-2025
Fish & Shellfish Immunology,1050-4648,Hybrid,Y,,,Elsevier,2023-2025
Fisheries Research,0165-7836,Hybrid,Y,,,Elsevier,2023-2025
Fisioterapia,0211-5638,Hybrid,Y,,,Elsevier,2023-2025
Fitoterapia,0367-326X,Hybrid,Y,,,Elsevier,2023-2025
FlatChem,2452-2627,Hybrid,Y,,,Elsevier,2023-2025
Flora,0367-2530,Hybrid,Y,,,Elsevier,2023-2025
Flow Measurement and Instrumentation,0955-5986,Hybrid,Y,,,Elsevier,2023-2025
Fluid Phase Equilibria,0378-3812,Hybrid,Y,,,Elsevier,2023-2025
Food and Bioproducts Processing,0960-3085,Hybrid,Y,,,Elsevier,2023-2025
Food and Chemical Toxicology,0278-6915,Hybrid,Y,,,Elsevier,2023-2025
Food and Humanity,2949-8244,Hybrid,Y,,,Elsevier,2023-2025
Food Bioscience,2212-4292,Hybrid,Y,,,Elsevier,2023-2025
Food Chemistry,0308-8146,Hybrid,Y,,,Elsevier,2023-2025
Food Control,0956-7135,Hybrid,Y,,,Elsevier,2023-2025
Food Hydrocolloids,0268-005X,Hybrid,Y,,,Elsevier,2023-2025
Food Microbiology,0740-0020,Hybrid,Y,,,Elsevier,2023-2025
Food Packaging and Shelf Life,2214-2894,Hybrid,Y,,,Elsevier,2023-2025
Food Policy,0306-9192,Hybrid,Y,,,Elsevier,2023-2025
Food Quality and Preference,0950-3293,Hybrid,Y,,,Elsevier,2023-2025
Food Research International,0963-9969,Hybrid,Y,,,Elsevier,2023-2025
Food Structure,2213-3291,Hybrid,Y,,,Elsevier,2023-2025
Food Webs,2352-2496,Hybrid,Y,,,Elsevier,2023-2025
Foot and Ankle Surgery,1268-7731,Hybrid,Y,,,Elsevier,2023-2025
Forensic Chemistry,2468-1709,Hybrid,Y,,,Elsevier,2023-2025
Forensic Imaging,2666-2256,Hybrid,Y,,,Elsevier,2023-2025
Forensic Science International,0379-0738,Hybrid,Y,,,Elsevier,2023-2025
Forensic Science International: Digital Investigation,2666-2817,Hybrid,Y,,,Elsevier,2023-2025
Forensic Science International: Genetics,1872-4973,Hybrid,Y,,,Elsevier,2023-2025
Forensic Science International: Genetics Supplement Series,1875-1768,Hybrid,Y,,,Elsevier,2023-2025
Forest Ecology and Management,0378-1127,Hybrid,Y,,,Elsevier,2023-2025
Forest Policy and Economics,1389-9341,Hybrid,Y,,,Elsevier,2023-2025
Free Radical Biology & Medicine,0891-5849,Hybrid,Y,,,Elsevier,2023-2025
Frontiers in Neuroendocrinology,0091-3022,Hybrid,Y,,,Elsevier,2023-2025
Fuel,0016-2361,Hybrid,Y,,,Elsevier,2023-2025
Fuel Processing Technology,0378-3820, Gold,N,APC discount available,,Elsevier,2023-2025
Fungal Biology,1878-6146,Hybrid,Y,,,Elsevier,2023-2025
Fungal Biology Reviews,1749-4613,Hybrid,Y,,,Elsevier,2023-2025
Fungal Ecology,1754-5048,Hybrid,Y,,,Elsevier,2023-2025
Fungal Genetics and Biology,1087-1845,Hybrid,Y,,,Elsevier,2023-2025
Fusion Engineering and Design,0920-3796,Hybrid,Y,,,Elsevier,2023-2025
Fuß & Sprunggelenk,1619-9987,Hybrid,Y,,,Elsevier,2023-2025
Future Generation Computer Systems,0167-739X,Hybrid,Y,,,Elsevier,2023-2025
Futures,0016-3287,Hybrid,Y,,,Elsevier,2023-2025
Fuzzy Sets and Systems,0165-0114,Hybrid,Y,,,Elsevier,2023-2025
Gait & Posture,0966-6362,Hybrid,Y,,,Elsevier,2023-2025
Games and Economic Behavior,0899-8256,Hybrid,Y,,,Elsevier,2023-2025
Gas Science and Engineering,2949-9089,Hybrid,Y,,,Elsevier,2023-2025
Gastroenterología y Hepatología,0210-5705,Hybrid,Y,,,Elsevier,2023-2025
Gastroenterología y Hepatología (English Edition),2444-3824,Hybrid,Y,,,Elsevier,2023-2025
Gastroenterology,0016-5085,Hybrid,Y,,,Elsevier,2023-2025
Gastrointestinal Endoscopy,0016-5107,Hybrid,Y,,,Elsevier,2023-2025
Gene,0378-1119,Hybrid,Y,,,Elsevier,2023-2025
Gene Expression Patterns,1567-133X,Hybrid,Y,,,Elsevier,2023-2025
Gene Reports,2452-0144,Hybrid,Y,,,Elsevier,2023-2025
General and Comparative Endocrinology,0016-6480,Hybrid,Y,,,Elsevier,2023-2025
General Hospital Psychiatry,0163-8343,Hybrid,Y,,,Elsevier,2023-2025
Genetics in Medicine,1098-3600,Hybrid,Y,,,Elsevier,2023-2025
Geobios,0016-6995,Hybrid,Y,,,Elsevier,2023-2025
Geochemistry,0009-2819,Hybrid,Y,,,Elsevier,2023-2025
Geochimica et Cosmochimica Acta,0016-7037,Hybrid,Y,,,Elsevier,2023-2025
Geoderma,0016-7061, Gold,N,APC discount available,,Elsevier,2023-2025
Geoderma Regional,2352-0094,Hybrid,Y,,,Elsevier,2023-2025
Geoenergy Science and Engineering,2949-8910,Hybrid,Y,,,Elsevier,2023-2025
Geoforum,0016-7185,Hybrid,Y,,,Elsevier,2023-2025
Geomechanics for Energy and the Environment,2352-3808,Hybrid,Y,,,Elsevier,2023-2025
Geomorphology,0169-555X,Hybrid,Y,,,Elsevier,2023-2025
Geotextiles and Geomembranes,0266-1144,Hybrid,Y,,,Elsevier,2023-2025
Geothermics,0375-6505,Hybrid,Y,,,Elsevier,2023-2025
Geriatric Nursing,0197-4572,Hybrid,Y,,,Elsevier,2023-2025
Global and Planetary Change,0921-8181,Hybrid,Y,,,Elsevier,2023-2025
Global Environmental Change,0959-3780,Hybrid,Y,,,Elsevier,2023-2025
Global Finance Journal,1044-0283,Hybrid,Y,,,Elsevier,2023-2025
Global Food Security,2211-9124,Hybrid,Y,,,Elsevier,2023-2025
Gondwana Research,1342-937X,Hybrid,Y,,,Elsevier,2023-2025
Government Information Quarterly,0740-624X,Hybrid,Y,,,Elsevier,2023-2025
Graphical Models,1524-0703, Gold,N,APC discount available,,Elsevier,2023-2025
