SA Mercantile Law,1015-0099,,Juta and Co                                Email: pvanaardt@juta.co.za                                                                    
Safundi:Journal of South African and American Studies,1753-3171,,Routledge
SAHARA J: Journal of Social Aspects of HIV/AIDS Research Alliance,1729-0376,1813-4424,Routledge (Taylor and Fancis Group)
SAIEE Africa Research Journal (Transactions of the South African Insitute of Electrical Engineers),1991-1696 ,,"Crown Publications                                                       Ms Karen Grant                                                           PO Box 140                                                          Bedfordview, 2008."
SAMJ - South African Medical Journal ,0256-9574 ,,"Health & Medical Publishing Group Private Bag X1, Pinelands, 7430. Contact person: Claudian@hmpg.co.za                                                                              "
SAMUS: South African Music Studies (Formerly South Africa Journal of Musicology),2223-635X,,Musicological Society of Southern  Africa                  P.O.Box 3452                                                      Matieland; 7602                                                           Tel:021 808 2350; Fax:021 808 2340                                                      E-mail:ig@sun.ac.za
Scientia Militaria:South african Journal of Military Studies,1022-8136 ,2224-0020 ,"Faculty of Military Science (Military Academy) University of Stellenbosch                                           Private Bag X2, Saldanha, 7395                                         Tel: 022 714 3104, Fax: 022 714 3060                                               E-mail: ian@ma2.sun.ac.za"
"Scriptura:INTERNATIONAL JOURNAL OF BIBLE, RELIGION AND THEOLOGY IN SOUTHERN AFRICA",0254-1807,,"US Printing                                                                 Private Bag X1, Matieland, 7602                             Tel: 021 808 3941                                                               E-mail:usprint@sun.ac.za"
Scrutiny2 (Unisa English Studies),1812-5441,1753-5409,Co-published by UNISA Press and Routledge                                                                                                                                  
Shakespeare in Southern Africa,1011-582X,,Institute for the Study of English in Africa (ISEA)
Social and Health Sciences (SaHS)- Formerly African Safety Promotion - A journal of Injury and violence Prevention,1728-774X,2957-3645 ,UNISA Press 
"Social Dynamics - A Journal of the Centre for African Studies, University of Cape Town",0253-3952,1940-7874,Routledge
Social Work: A Professional Journal for the Social Worker,0037-8054,2312-7198 ,"Department of Social Work                                            University of Stellenbosch                                                  P.O.Box 223, Stellenbosch, 7599                                  Tel: 021 808 2070/2069                                                       Fax: 021 808 3765"
South African Actuarial Journal,,1680-2179,"Acturial Society of South Africa                                      P.O. Box 4464                                                                       Cape Town, 8000                                       http://www.assa.org.za"
South African Archaeological Bulletin,0038-1969,,"South African Archeoalogical Society; PO Box 15700; Vlaeberg, 8018, Tel: 021 481-3886 Fax: 021 481-3993, Email: archsoc@iziko.org.za"
South African Baptist Journal of Theology,1019-7990,,"P.O.Box 38473                                                        Gatesville,7766                                                                   Tel: 021 637 9020/1                                                     Fax: 021 633 2626                                                                E-mail: baptcol@bigfoot.com"
South African Computer Journal,1015-7999,2313-7835,South African Institute of Computer Scientists                           The Head of Department; Floor8; Theo van Wyk; Room42; School of Computing; Pretoria                                                           Tel:012 429 6817                                                         E-mail:kotzep@unisa.ac.za;                                            
"South African Crime Quarterly


",1991-3877,," Institute for Security Studies 
PO Box 1787
Brooklyn Square
0075
Fax: 012 460 0998"
South African Dental Journal (Journal of the Dental Association of South Africa),1029-4864,,"Electronic Doctor (E-Doc) Publishers                          1175 Lara Street; Moreleta Park, Pretoria                                                       P.O Box 37545                                                                                       Faeri Glen; 0043                                                          Tel: 012 997 6531                                                                                                Fax:012 997 6532                                Email:johan@edoc.co.za                                                    "
South African Family Practice ,2078-6190,2078-6204,"AOSIS , Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
South African Health Review,1025-1715,,Health Systems Trust 34 Essec Terrace Westville 3630      Durban    hst@hst.org.za            031 266 9090
South African Intellectual Property Law Journal (SAIPLJ),2309-4532,,"Juta and Company, 1st Floor Sunclare Building, 21 Dreyer Street, Claremont"
"South African Journal for Research in Sport,Physical Education & Recreation",0379-9069,,"Department of Sport Science, University of Stellenbosch, Private Bag X1, Matieland, 7602Tel021 808 4915; Fax: 021 808 4817, Email: floris@sun.ac.za"
South African Journal of Agricultural Extension,0301-603X,,"South African Society for Agricultural Extension(SASAE)                                                   Department of Agriculture, Ecomomics, Extensions and Rural,                                   University of Pretoria, 0002,                                                Tel: 012 420 3246"
South African Journal of Art History,0258-3542,,"Art Historical Work Group of South Africa Department of Art History and Fine Arts                           UNISA, P.O.Box 392                                               Pretoria, 0003"
South African Journal of Bioethics and Law,1999-7639,,South African Medical Association.
South African Journal of Business Management ,2078-5585,2078-5976,"Associatopn of Professional Managers SA, PO Box 11937, Centurion, 0046"
South African Journal of Chemical Engineering,1026-9185,,'Elsevier
"South African Journal of Child Health 

",1994-3032,,"Health & Medical Publishing Group
Private Bag X1
Pinelands, 7430. Contact person: Claudian@hmpg.co.za"
South African Journal of Childhood  Education,2223-7674,2223-7682,"AOSIS OpenJournals, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
South African Journal of Clinical Nutrition,1607-0658,2221-1268,"Medpharm Publications              Centurion Wine and Arts Centre, 123 Amkor Road, Lyttleton Mannor, 0140.                     E-mail: info@medpharm.co.za"
South African Journal of Communication Disorders,0379-8046,2225-4765,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
South African Journal of Criminal Justice,1011-8527,,"Juta Law                                                                         P.O. Box 24299                                                               Lansdowne, 7779                                                                 Cape Town"
South African Journal of Cultural History/ Suid-Afrikaanse Tydskrif vir Kultuurgeskiedenis,1011--3053,,"Postnet Suite 139
Private Bag X504
Sinoville
0129"
South African Journal of Economic and Management Sciences,1015-8812,2222-3436,"AOSIS OpenJournals, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
South African Journal of Education,0256-0100,,"Education Association of SA; Science Africa, PO Box 11890, Silver Lakes, 0054, Fax: 0865113379, Email: sci-af@silverlakes.co.za"
South African Journal of Enology and Viticulture ,0253-939x ,,"South African Society of  Enology & Viticulture-SASEV, Dennesig, P O Box 2092, Stellenbosch"
South African Journal of Environmental Law and Law Policy,1023-1765,,"School of Law                                                              University of Kwazulu-Natal                                                                        Golf Road,Scottsville, 3209                                            Tel: 033 260 5036                                                        Fax:033 260 5015                                                                    E-mail:ielaw@ukzn.ac.za"
South African Journal of Geomatics (formelry South African Journal of Surveying and Geo-Information),2225-8531,,"CONSAS Conference              Van der Sterr Building               Rhodes Drive, Mowbrary 7785, South Africa"
South African Journal of Higher Education,1011-3487,1753-5913,Stellenbosch University Library and Information Service                                                                  
South African Journal of Industrial Engineering,1012-277X,2224-7890,"PO Box 431,                                                                Bedfordview; 2008                                                      Tel:011 607 9557; Fax:011 616 8410                    E-mail:admin@saiie.co.za"
South African Journal of Information Management,2078-1865,1560-683X,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
South African Journal of Library and Information Science,0256-8861,2304-8263,"Library and Information Studies Centre, University of Cape Town, Private Bag X 3, Rondebosch,7701                         "
South African Journal of Occupational Therapy,0038-2337,2310-3833,CROWN
South African Journal of Philosophy ,0258-0136,2073-4867,Routledge
South African Journal of Physiotherapy,0379-6175,2410-8219,"AOSIS OpenJournals, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
South African Journal of Plant and Soil,0257-1862,2167-034x,"Co-published by National Inquiry Services Centre, Pty Ltd and Taylor and Francis"
South African Journal of Psychiatry,1608-9685,2078-6786,"AOSIS OpenJournals, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
South African Journal of Psychology                                        ,0081-2463 ,,"PsySSA, PO Box 989, Houghton, 2041"
South African Journal of Science ,0038-2353,1996-7489,"Academy of Science of SA, PO Box 72135, Lynnwood Ridge, 0040, Tel. 012 843 6482/95"
South African Journal of Sport Medicine,1015-5163,2078-516X,ASSAF OJS
South African Journal on Human Rights,0258-7203,,"Juta Law, PO Box 24299, Landsdowne, 7779, Tel: 021 763 3500, Fax: 021 761 5861, Email: cserv@juta.co.za"
South African Museums Association Bulletin (SAMAB),0258-5049,,"SAMAB                                                                        P.O.Box 29294                                                 Sunnyside,Pretoria,0132"
South African Ophthalmology Journal,2218-8304,,"New Media,a division of Media24 (Pty)Ltd                PO Box 440                                                            Green Point                                                          Cape Town                                                                      8051"
South African Orthopaedic Journal,1681-150X,,"Department of Orthopedics                                        Private Bag X169,                             Pretoria,                                              0001                                              Tel: 012 354 6274,                                 Fax: 012 354 6164                                               "
South African Review of Sociology (Society in Transition),2152-8586,2072-1978,Co-published by UNISA Press and Routledge                                                                                                                                  
South African Statistical Journal,0038-271X,1996-8450,South African Statistical Association
South African Theatre  Journal,1013-7548,2163-7660,Routledge
South African Yearbook of International Law,0379-8895,,"The Verloren van Themmat Centre for Public Law Studies                                                               UNISA                                                                       P.O.Box 392                                                     Pretoria, 0003"
Southern African Business Review,,1998-8125,UNISA  Press                                                                                                                                                                                                         
Southern African Humanities (Natal Museum Journal of Humanities),1681-5564,,Council of the Natal Museum. 
Southern African Journal for Folklore Studies,1016-8427,2663-6697,"Southern African Folklore Society                             Office of the Scientific Editor                                         Southern African Journal for Folklore Studies, Postnet Suite 15 Private Bag X25                                                   Sunnyside, 0132"
Southern African Journal of Accountability and Auditing Research,1028-9011,,"The Southern African Institute of Government Auditors (SAIGA), 5 Bauhinia Street, Block A, Cambridge Officepark Technopark, Highveld Centurion                                                                                                                                                       Tel: 012 004 0741; Fax: 012 362 1418                                 E-mail:admin@saiga.co.za"
Southern African Journal of Anaesthesia and Analgesia,2220-1181,2220-1173,"Medpharm Publications Centurion Wine and Arts Centre, 123 Amkor Road, Lyttleton Mannor, 0140         info@medpharm.co.za"
Southern African Journal of Critical Care,1562-8264,,"Health & Medical Publishing Group Private Bag X1, Pinelands, 7430                                                            Tel: 021 657 8212;                           Fax: 021 683 4509"
Southern African Journal of Demography,1682-4482,,The Demographic Association of South Africa;c/o Postnet Suite #175                                               Private Bag X855                                             Pretoria; 0001                                                             Tel:  012 331 6492;                Fax: 012 331 6494                                               E-mail:melpot@iafrica.com
Southern African Journal of Entrepreneurship and Small Business Management,2522-7343,2071-3185,"AOSIS OpenJournals, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
Southern African Journal of Environmental Education (SAJEE),0256-7504, 2411-5959,"Environmental Education Association of SA;
c/o Rhodes University
PO Box 94, Makhanda, Eastern Cape, 6139
Tel: (046) 603 8389
Email: eeasa@eeasa.org.za
Email: c.royle@ru.ac.za
"
Southern African Journal of Gynaecological Oncology (Formerly South African Society of Gynaecologic Oncology),2074-2835,2220-105x,"Medpharm Publications Centurion Wine and Arts Centre, 123 Amkor Road, Lyttleton Mannor, 0140   info@medpharm.co.za"
Southern African Journal of Infectious Diseases (Formelry Southern African Journal of Epidemiology and Infection),2312-0053,2313-1810,0
Southern African Journal of Medieval and Renaissance Studies,1017-3455,,"Southern African Journal of Medieval and Renaissance Studies                                              Department of English                                                  University of the Witwatersrand                                      Private Bag 3                                                                      Wits, 2050"
Southern African Journal of Social Work and Social Development (Formelry Social Work Practitioner Researcher),0520-0097,2415-5829,"P.O.Box 424                                                                   Auckland Park, 2006"
Southern African Linguistics And Applied Language Studies ,1607-3614 ,1727-9461,Routledge
Southern African Public Law (SA Public Law),2219-6412,2522-6800,"VerLoren van Themaat Centre for Public Law Studies                                   UNISA, P.O. Box 392, Pretoria, 0003                           Tel: 012 429 8359; Fax: 012 429 8587                                                         "
Southern African Review of Education,1563-4418,,"Southern African Comparative and History of Education Society                                                     University of Pretoria                                                     Faculty of Education                                                Groenkloof Campus, Pretoria,0001"
Southern Forests:  A Journal of Forest Science (Southern Hemisphere Forestry Journal),2070-2620,2070-2639,"Co-published by National Inquiry Services Centre, Pty Ltd and Taylor and Francis"
Southern Journal for Contemporary History (Formerly Journal for Contemporary History),0258-2422,,Department of History                                                            University of the Free State                            Tel: 051 401 2330; Fax: 051 448 3942                      E-mail:barnards.hum@mail.uovs.ac.za
Speculum Juris,0584-8652,2523-2177,Lexis Nexis Butterworths
Spil:Stellenbosch Papers in Linguistics,1027-3417,,"Department of General Linguistics                                        University of Stellenbosch                                                   Private Bag X1                                                          Matieland, 7602,                                                    Stellenbosch"
Spil:Stellenbosch Papers in Linguistics,1027-3417,,"Department of General Linguistics                                        University of Stellenbosch                                                   Private Bag X1                                                          Matieland, 7602,                                                    Stellenbosch"
Stellenbosch Law Review,1016-4359,1996-2193,Juta and Co                                Email: pvanaardt@juta.co.za                                                                    
Stellenbosch Theological Journal/ Stellenbosch Teologiese Joernaal (STJ). (Formelry NGTT: Ned Geref Teologiese Tydskrif),2413-9459,2413-9467,"NGTT, Theology Faculty                                                               University of Stellenbosch                                                       Private Bag X1                        Matieland                                                7602"
Stilet: Tydskrif vir die Afrikaanse Letterkundevereniging,1013-4573,,"Afrikaanse Letterkundevereeniging                    P.O.Box 339                                                        Bloemfontein, 9300"
South African Field Archaelogy,1019-5785,2789-1844,University of Johannesburg Press. Email: wikusvz@uj.ac.za
Strategic Review for Southern Africa (ISSUP Strategic Review),1013-1108,,"Institute for Strategic Studies, University of Pretoria, Pretoria, 0002; Email: wilma.martin@up.ac.za; Tel: 012 420 2407/2034; Fax: 012 420 2693"
Studia Historiae Ecclesiasticae: Journal of the Church History Society of Southern Africa,1017-0499,,"School of Ecclesiastical Sciences                                           PU for CHE                                                                         P.O.Box 20004                                                          Noordburg, 2522"
The Wits Journal of Clinical Medicine,2618-0189,,"Wits University Press, Jan Smuts Avenue, Braamfontein, Johannesburg"
The African Journal of Information and Communication,2077-7205,2077-7213,"LINK Centre, School of Literature Language and Media, Wits University"
The African Vision and Eye Health (Fomerly South African Optometrist),2413-3183,2410-1516,"AOSIS OpenJournals, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
The Independent journal of teaching and learning,1818-9687,2519-5670,"Inanda Greens Business Park , 54 Wierda Road West, Wierda Valley, Santon, South Africa, , Tel: (011) 676 8021"
The Retail and Marketing Review (International Retail and Marketing Review),2708-3209,,UNISA Department of Marketing and  Retail Management   Department of Marketing and Retail Management    College of Economic and Management Sciences AJH van der Waldt Building Preller         Street  Muckleneuk       Pretoria                         0003
Theologia Viatorum:Journal of Theology and Religion in Africa,0378-4142,2664-2980 ,0
Theoria: A Journal of Social and Political Theory,0040-5817,1558-5816,"PO Box 50324, Randjesfontein, 1683, email: deacon@ukzn.ac.za
"
Town and Regional Planning,1012-280x,2415-0495,"SUN Media, Bloemfontein, Email:admin@sunbloem.co.za"
Transactions of the Royal Society of South Africa,0035-919X,2154-0098,Co-published by Taylor and Francis and UNISA Press
Transformation in Higher Education,2415-0991,2519-5638,"AOSIS (PTY) Ltd                                                            Postnet Suite #110                                            Private Bag X19                                                                  Durbanville,Cape Town                                                          South Africa ,7550   "
Tydskrif vir Christelike Wetenskap,1013-1116,,"Vereniging vir Christelike Hoer Onderwys,UOVS                                                           P.O.Box 339                                                    Bloemfontein, 9300"
Tydskrif vir Geesteswetenskappe,0041-4751,' 2224-7912,"South african Academy for Science and Arts, 574 Ziervogel Street                                             Arcadia,0007                                                                Tel:  012 328 5082                                                     Fax: 012 328 5091                                                             E-mail:akademie@akademie.co.za"
Tydskrif vir Letterkunde ,0041-476x ,2309-9070 ,"Department of Afrikaans, Humanities Building 15-14, Faculty of Humanities, University of Pretoria, Hatfield Campus, Pretoria, 0002"
Tydskrif vir Nederlands en Afrikaans,1022-6966,,
Verbum et Ecclesia (Skrif en Kerk),1609-9982,2074-7705,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
Wound Healing Southern Africa,2076-8893,,Medpharm Publications
"Vir die Musiekleier /To the Director of Music



",1999-3412,,"Southern African Church
and Concert Organist Society (SAKOV)
Postnet Suite 011
Private Bag X21
QUEENSWOOD, 0121
"
Yesterday & Today,2223-0386,2309-9003,"Yesterday & Today, Department of Humanities Education, Faculty of Education, University of Pretoria, Private Bag X20, Hatfield, 0028.
"
