Journal title	ISSN	eISSN	Publisher details	Open Access Status
Allergy: European Journal of Allergy and Clinical Immunology	0105-4538	1398-9995	Wiley-Blackwell Publishing Ltd	
Allgemeine Forst- und Jagdzeitung	0002-5852	-	J.D. Sauerlander Verlag	
Allgemeine Zeitschrift fur Philosophie	0340-7969	-	Frommann-holzboog	
Almanac of Clinical Medicine	2072-0505	2587-9294	Moscow Regional Research and Clinical Institute	Unpaywall Open Access
Al-Manahij: Jurnal Kajian Hukum Islam	1978-6670	2579-4167	Universitas Islam Negeri Profesor Kiai Haji Saifuddin Zuhri Purwokerto	Unpaywall Open Access
Al-Masaq	0950-3110	1473-348X	Routledge	
Aloma	1138-3194	2339-9694	Facultat de Psicologia, Ciencies de l'Educacio i de l'Esport Blanquerna	
Alpha	0716-4254	0718-2201	Universidad de los Lagos	
Alpine and Mediterranean Quaternary	2279-7327	2279-7335	AIQUA - Associazione Italiana per lo Studio del Quaternario	
Alpine Botany	1664-2201	1664-221X	Springer Science and Business Media Deutschland GmbH	
Alpine Entomology	-	2535-0889	Pensoft Publishers	Unpaywall Open Access
Al-Qadisiyah Journal for Engineering Sciences	1998-4456	2411-7773	University of Al-Qadisiyah	Unpaywall Open Access
Al-Qantara	0211-3589	1988-2955	CSIC Consejo Superior de Investigaciones Cientificas	Unpaywall Open Access
Al-Rafidain Journal of Medical Sciences	-	2789-3219	Al-Rafidain University College	
Al-Risalah: Forum Kajian Hukum dan Sosial Kemasyarakatan	1412-436X	2540-9522	State Islamic University of Sulthan Thaha Saifuddin Jambi	
Al-Shajarah	1394-6870	-	International Islamic University Malaysia	
Alternativas	1133-0473	1989-9971	University of Alicante - Department of Social Work and Social Services	Unpaywall Open Access
AlterNative	1177-1801	1174-1740	SAGE Publications Inc.	
Alternative Law Journal	1037-969X	2398-9084	SAGE Publications Inc.	
Alternatives	0304-3754	2163-3150	SAGE Publications Inc.	
Alternatives to Laboratory Animals	0261-1929	2632-3559	SAGE Publications Inc.	
Altex	1868-596X	1868-8551	Springer International Publishing AG	Unpaywall Open Access
Althea Medical Journal	-	2337-4330	University of Padjadjaran Faculty of Medicine	
Altorientalische Forschungen	0232-8461	2196-6761	Walter de Gruyter GmbH	
Altre Modernita	2035-7680	-	Universita degli Studi di Milano	Unpaywall Open Access
Alytes	0753-4973	-	ISSCA	
Alzheimer Disease and Associated Disorders	0893-0341	1546-4156	Lippincott Williams and Wilkins Ltd.	
Alzheimer's and Dementia	1552-5260	1552-5279	John Wiley and Sons Inc	
Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring	-	2352-8729	John Wiley and Sons Inc	Unpaywall Open Access
Alzheimer's and Dementia: Translational Research and Clinical Interventions	-	2352-8737	John Wiley and Sons Inc	Unpaywall Open Access
Alzheimer's Research and Therapy	-	1758-9193	BioMed Central Ltd	Unpaywall Open Access
AMA Journal of Ethics	2376-6980	2376-6980	American Medical Association	
Amaltea	-	1989-1709	Universidad Complutense Madrid	Unpaywall Open Access
AMB Express	-	2191-0855	SpringerOpen	Unpaywall Open Access
Ambiente e Sociedade	1414-753X	-	Universidade Estadual de Campinas	Unpaywall Open Access
Ambio	0044-7447	1654-7209	Springer Science and Business Media B.V.	
Ambitos	1575-2100	2386-4494	Biblioteca Universidad de Cordoba	
Ambix	0002-6980	1745-8234	Maney Publishing	
Ambulatornaya Khirurgiya	2712-8741	2782-2591	Remedium Group Ltd	Unpaywall Open Access
Ambulatory Surgery	0966-6532	-	International Association for Ambulatory Surgery	
AME Medical Journal	-	2520-0518	AME Publishing Company	
AME Surgical Journal	-	2788-578X	AME Publishing Company	
Ameghiniana	0002-7014	1851-8044	Asociacion Paleontologica Argentina	
Amerasia Journal	0044-7471	-	Taylor and Francis Ltd.	
America Latina en la Historia Economica	1405-2253	2007-3496	Instituto de Investigaciones Dr. Jose Maria Luis Mora	Unpaywall Open Access
America Latina Hoy	1130-2887	2340-4396	University of Salamanca	Unpaywall Open Access
America sin Nombre	1577-3442	1989-9831	Universidad de Alicante	Unpaywall Open Access
American and British Studies Annual	1803-6058	2788-2233	University of Pardubice	Unpaywall Open Access
American Annals of the Deaf	0002-726X	1543-0375	Gallaudet University Press	
American Anthropologist	0002-7294	1548-1433	John Wiley & Sons Inc.	
American Antiquity	0002-7316	2325-5064	Cambridge University Press	
American Archivist	0360-9081	-	Society of American Archivists	
American Art	1073-9300	1549-6503	University of Chicago Press	
American Behavioral Scientist	0002-7642	1552-3381	SAGE Publications Inc.	
American Biology Teacher	0002-7685	-	National Association of Biology Teachers, Inc	
American Book Review	0149-9408	-	School of Arts and Sciences, University of Houston-Victoria	
American Business Law Journal	0002-7766	-	Wiley-Blackwell Publishing Ltd	
American Business Review	-	2689-8810	Pompea College of Business, University of New Haven	Unpaywall Open Access
American Catholic Philosophical Quarterly	1051-3558	2153-8441	Philosophy Documentation Center	
American Ceramic Society Bulletin	0002-7812	-	American Ceramic Society	
American Communication Journal	1532-5865	-	American Communication Association	
American Communist History	1474-3892	1474-3906	Taylor and Francis Ltd.	
American Economic Journal: Applied Economics	1945-7782	1945-7790	American Economic Association	
American Economic Journal: Economic Policy	1945-7731	1945-774X	American Economic Association	
American Economic Journal: Macroeconomics	1945-7707	1945-7715	American Economic Association	
American Economic Journal: Microeconomics	1945-7669	1945-7685	American Economic Association	
American Economic Review	0002-8282	1944-7981	American Economic Association	
American Economist	0569-4345	2328-1235	SAGE Publications Inc.	
American Educational Research Journal	0002-8312	1935-1011	SAGE Publications Ltd	
American Entomologist	1046-2821	2155-9902	Oxford University Press	
American Ethnologist	0094-0496	1548-1425	Wiley-Blackwell	
American Family Physician	0002-838X	1532-0650	American Academy of Family Physicians	
American Fern Journal	0002-8444	-	American Fern Society	
American Forests	0002-8541	-	American Forests	
American Health and Drug Benefits	1942-2962	1942-2970	Engage Healthcare Communications, Inc.	
American Heart Journal	0002-8703	1097-6744	Elsevier Inc.	
American Heart Journal Plus: Cardiology Research and Practice	-	2666-6022	Elsevier Inc.	Unpaywall Open Access
American Historical Review	0002-8762	1937-5239	Oxford University Press	
American History	1076-8866	-	Weider History Group	
American Imago	0065-860X	1085-7931	Johns Hopkins University Press	
American Indian and Alaska Native Mental Health Research	0893-5394	1533-7731	University Press of Colorado	
American Indian Culture and Research Journal	0161-6463	-	UCLA American Indian Studies Center	
American Jewish History	0164-0178	1086-3141	Johns Hopkins University Press	
American Journal of Agricultural Economics	0002-9092	1467-8276	John Wiley & Sons Inc.	
American Journal of Alzheimer's Disease and other Dementias	1533-3175	-	SAGE Publications Inc.	Unpaywall Open Access
American Journal of Animal and Veterinary Sciences	1557-4555	1557-4563	Science Publications	
American Journal of Archaeology	0002-9114	-	University of Chicago Press	
American Journal of Audiology	1059-0889	1558-9137	American Speech-Language-Hearing Association (ASHA)	
American Journal of Biochemistry and Biotechnology	1553-3468	1558-6332	Science Publications	
American Journal of Bioethics	1526-5161	1536-0075	Taylor and Francis Ltd.	
American Journal of Biological Anthropology	-	2692-7691	John Wiley and Sons Inc	
American Journal of Botany	0002-9122	1537-2197	John Wiley & Sons Inc.	
American Journal of Cardiology	0002-9149	1879-1913	Elsevier Inc.	
American Journal of Cardiovascular Drugs	1175-3277	1179-187X	Adis	
American Journal of Case Reports	-	1941-5923	International Scientific Information, Inc.	
American Journal of Chinese Medicine	0192-415X	1793-6853	World Scientific	
American Journal of Clinical Dermatology	1175-0561	1179-1888	Adis	
American Journal of Clinical Hypnosis	0002-9157	2160-0562	Taylor and Francis Ltd.	Unpaywall Open Access
American Journal of Clinical Nutrition	0002-9165	1938-3207	Elsevier B.V.	
American Journal of Clinical Oncology: Cancer Clinical Trials	0277-3732	1537-453X	Lippincott Williams and Wilkins	
American Journal of Clinical Pathology	0002-9173	1943-7722	Oxford University Press	
American Journal of Community Psychology	0091-0562	1573-2770	Wiley-Blackwell	
American Journal of Comparative Law	0002-919X	-	American Society of Comparative Law	
American Journal of Criminal Justice	1066-2316	1936-1351	Springer New York	
American Journal of Critical Care	1062-3264	1937-710X	American Association of Critical-Care Nurses	
American Journal of Cultural Sociology	2049-7113	2049-7121	Springer International Publishing AG	
American Journal of Dance Therapy	0146-3721	1573-3262	Springer New York	
American Journal of Dentistry	0894-8275	-	Mosher and Linder, Inc	
American Journal of Dermatopathology	0193-1091	1533-0311	Lippincott Williams and Wilkins	
American journal of disaster medicine	1932-149X	-	Prime National Publishing Corp.	
American Journal of Distance Education	0892-3647	1538-9286	Taylor and Francis Ltd.	
American Journal of Drug and Alcohol Abuse	0095-2990	1097-9891	Informa Healthcare	
American Journal of Economics and Sociology	0002-9246	1536-7150	Wiley-Blackwell Publishing Ltd	
American Journal of Education	0195-6744	1549-6511	University of Chicago	
American Journal of Emergency Medicine	0735-6757	1532-8171	W.B. Saunders	
American Journal of Enology and Viticulture	0002-9254	-	American Society for Enology and Viticulture	
American Journal of Epidemiology	0002-9262	1476-6256	Oxford University Press	
American Journal of Evaluation	1098-2140	-	SAGE Publications Inc.	
American Journal of Family Therapy	0192-6187	1521-0383	Routledge	
American Journal of Forensic Medicine and Pathology	0195-7910	1533-404X	Lippincott Williams and Wilkins Ltd.	
American Journal of Forensic Psychology	0733-1290	-	American College of Forensic Psychology	
American Journal of Gastroenterology	0002-9270	1572-0241	Wolters Kluwer Health	
American Journal of Geriatric Psychiatry	1064-7481	1545-7214	Elsevier B.V.	
American Journal of Health Behavior	1087-3244	1945-7359	PNG Publications	
American Journal of Health Economics	2332-3493	2332-3507	University of Chicago Press	
American Journal of Health Education	1932-5037	2168-3751	Taylor and Francis Ltd.	
American Journal of Health Promotion	0890-1171	2168-6602	SAGE Publications Inc.	
American Journal of Health-System Pharmacy	1079-2082	1535-2900	American Society of Health-Systems Pharmacy	
American Journal of Hematology	0361-8609	1096-8652	John Wiley and Sons Inc	
American Journal of Hospice and Palliative Medicine	1049-9091	-	SAGE Publications Inc.	
American Journal of Human Biology	1042-0533	1520-6300	Wiley-Liss Inc.	
American Journal of Human Genetics	0002-9297	1537-6605	Cell Press	
American Journal of Hypertension	0895-7061	1941-7225	Oxford University Press	
American Journal of Industrial Medicine	0271-3586	1097-0274	Wiley-Liss Inc.	
American Journal of Infection Control	0196-6553	1527-3296	Elsevier Inc.	
American Journal of International Law	0002-9300	-	Cambridge University Press	
American Journal of Islam and Society	2690-3733	2690-3741	International Institute of Islamic Thought	Unpaywall Open Access
American Journal of Jurisprudence	0065-8995	2049-6494	University of Notre Dame, Law School	
American Journal of Kidney Diseases	0272-6386	1523-6838	W.B. Saunders	
American Journal of Law and Medicine	0098-8588	2375-835X	Cambridge University Press	
American Journal of Legal History	0002-9319	2161-797X	Oxford University Press	
American Journal of Lifestyle Medicine	1559-8276	1559-8284	SAGE Publications Inc.	
American Journal of Managed Care	1088-0224	1936-2692	Ascend Media	
American Journal of Mathematical and Management Sciences	0196-6324	-	Taylor and Francis Ltd.	
American Journal of Mathematics	0002-9327	1080-6377	Johns Hopkins University Press	
American Journal of Medical Genetics, Part A	1552-4825	1552-4833	John Wiley and Sons Inc	
American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics	1552-4841	1552-485X	Wiley-Liss Inc.	
American Journal of Medical Genetics, Part C: Seminars in Medical Genetics	1552-4868	1552-4876	Wiley-Liss Inc.	
American Journal of Medical Quality	1062-8606	1555-824X	Wolters Kluwer Health	
American Journal of Medicine	0002-9343	1555-7162	Elsevier Inc.	
American Journal of Men's Health	1557-9883	1557-9891	SAGE Publications Inc.	Unpaywall Open Access
American Journal of Nephrology	0250-8095	1421-9670	S. Karger AG	
American Journal of Neuroradiology	0195-6108	-	American Society of Neuroradiology	
American Journal of Numismatics	1053-8356	-	American Numismatic Society	
American Journal of Nursing	0002-936X	1538-7488	Lippincott Williams and Wilkins Ltd.	
American Journal of Obstetrics and Gynecology	0002-9378	1097-6868	Elsevier Inc.	
American Journal of Obstetrics and Gynecology MFM	-	2589-9333	Elsevier Inc.	
American Journal of Occupational Therapy	0272-9490	-	American Occupational Therapy Association, Inc	
American Journal of Ophthalmology	0002-9394	1879-1891	Elsevier Inc.	
American Journal of Ophthalmology Case Reports	2451-9936	-	Elsevier Inc.	Unpaywall Open Access
American Journal of Orthodontics and Dentofacial Orthopedics	0889-5406	1097-6752	Elsevier Inc.	
American Journal of Orthopsychiatry	0002-9432	1939-0025	American Orthopsychiatric Association Inc.	
American Journal of Otolaryngology - Head and Neck Medicine and Surgery	0196-0709	1532-818X	W.B. Saunders	
American Journal of Pathology	0002-9440	1525-2191	Elsevier Inc.	
American Journal of Perinatology	0735-1631	1098-8785	Thieme Medical Publishers, Inc.	
American Journal of Pharmaceutical Education	0002-9459	1553-6467	Elsevier B.V.	
American Journal of Philology	0002-9475	1086-3168	Johns Hopkins University Press	
American Journal of Physical Medicine and Rehabilitation	0894-9115	1537-7385	Lippincott Williams and Wilkins Ltd.	
American Journal of Physics	0002-9505	-	American Association of Physics Teachers	
American Journal of Physiology - Advances in Physiology Education	1043-4046	1522-1229	American Physiological Society	
American Journal of Physiology - Cell Physiology	0363-6143	1522-1563	American Physiological Society	
American Journal of Physiology - Endocrinology and Metabolism	0193-1849	1522-1555	American Physiological Society	
American Journal of Physiology - Gastrointestinal and Liver Physiology	0193-1857	1522-1547	American Physiological Society	
American Journal of Physiology - Heart and Circulatory Physiology	0363-6135	1522-1539	American Physiological Society	
American Journal of Physiology - Lung Cellular and Molecular Physiology	1040-0605	1522-1504	American Physiological Society	
American Journal of Physiology - Regulatory Integrative and Comparative Physiology	0363-6119	1522-1490	American Physiological Society	
American Journal of Political Science	0092-5853	1540-5907	Wiley-Blackwell Publishing Ltd	
American Journal of Potato Research	1099-209X	1874-9380	Springer	
American Journal of Preventive Cardiology	-	2666-6677	Elsevier B.V.	Unpaywall Open Access
American Journal of Preventive Medicine	0749-3797	1873-2607	Elsevier Inc.	
American Journal of Primatology	0275-2565	1098-2345	John Wiley & Sons Inc.	
American Journal of Psychiatry	0002-953X	1535-7228	American Psychiatric Association	
American Journal of Psychoanalysis	0002-9548	1573-6741	Palgrave Macmillan Ltd.	
American Journal of Psychology	0002-9556	1939-8298	University of Illinois Press	
American Journal of Psychotherapy	0002-9564	2575-6559	American Psychiatric Association	
American Journal of Public Health	0090-0036	1541-0048	American Public Health Association Inc.	
American Journal of Reproductive Immunology	1046-7408	1600-0897	Wiley-Blackwell Publishing Ltd	
American Journal of Respiratory and Critical Care Medicine	1073-449X	1535-4970	American Thoracic Society	
American Journal of Respiratory Cell and Molecular Biology	1044-1549	1535-4989	American Thoracic Society	
American Journal of Rhinology and Allergy	1945-8924	1945-8932	OceanSide Publications Inc.	
American Journal of Roentgenology	0361-803X	1546-3141	American Roentgen Ray Society	
American Journal of Science	0002-9599	-	American Journal of Science	
American Journal of Sexuality Education	1554-6128	1554-6136	Routledge	
American Journal of Sociology	0002-9602	1537-5390	University of Chicago	
American Journal of Speech-Language Pathology	1058-0360	1558-9110	American Speech-Language-Hearing Association (ASHA)	
American Journal of Sports Medicine	0363-5465	1552-3365	SAGE Publications Inc.	
American Journal of Surgery	0002-9610	1879-1883	Elsevier Inc.	
American Journal of Surgical Pathology	0147-5185	1532-0979	Wolters Kluwer Health	
American Journal of the Medical Sciences	0002-9629	1538-2990	Elsevier B.V.	
American Journal of Therapeutics	1075-2765	1536-3686	Lippincott Williams and Wilkins	
American Journal of Transplantation	1600-6135	1600-6143	Elsevier B.V.	
American Journal of Tropical Medicine and Hygiene	0002-9637	1476-1645	American Society of Tropical Medicine and Hygiene	
American Journal of Veterinary Research	0002-9645	1943-5681	American Veterinary Medical Association	Unpaywall Open Access
American Journal on Addictions	1055-0496	1521-0391	Wiley-Blackwell	
American Journal on Intellectual and Developmental Disabilities	1944-7515	1944-7558	American Association on Intellectual and Developmental Disabilities	
American Journalism	0882-1127	2326-2486	Taylor and Francis Ltd.	
American Law and Economics Review	1465-7252	1465-7260	Oxford University Press	
American Literary History	0896-7148	1468-4365	Oxford University Press	
American Literary Realism	1540-3084	1940-5103	University of Illinois Press	
American Literary Scholarship	0065-9142	1527-2125	Duke University Press	
American Literature Readings in the 21st Century	2634-579X	2634-5803	Palgrave Macmillan Ltd.	
American literature; a journal of literary history, criticism and bibliography	0002-9831	1527-2117	Duke University Press	
American Malacological Bulletin	0740-2783	-	American Malacological Society	
American Mathematical Monthly	0002-9890	-	Taylor and Francis Ltd.	
American Midland Naturalist	0003-0031	-	University of Notre Dame	
American Mineralogist	0003-004X	1945-3027	Walter de Gruyter GmbH	
American Museum Novitates	0003-0082	-	American Museum of Natural History	
American Music	0734-4392	-	University of Illinois Press	
American Naturalist	0003-0147	1537-5323	University of Chicago	
American Nineteenth Century History	1466-4658	1743-7903	Routledge	
American Periodicals	1054-7479	1548-4238	Ohio State University Press	
American Pharmaceutical Review	1099-8012	-	Russell Publishing LLC	
American Philosophical Quarterly	0003-0481	-	University of Illinois Press	
American Poetry Review	0360-3709	-	World Poetry, Inc.	
American Political Science Review	0003-0554	1537-5943	Cambridge University Press	
American Political Thought	2161-1580	2161-1599	University of Chicago Press	
American Politics Research	1532-673X	1552-3373	SAGE Publications Inc.	
American Psychologist	0003-066X	1935-990X	American Psychological Association	
American Quarterly	0003-0678	1080-6490	Johns Hopkins University Press	
American Religion	2643-9255	2643-9247	Indiana University Press	
American Review of Canadian Studies	0272-2011	-	Taylor and Francis Ltd.	
American Review of Public Administration	0275-0740	1552-3357	SAGE Publications Inc.	
American Scholar	0003-0937	-	Phi Beta Kappa Society	
American Sociological Review	0003-1224	1939-8271	American Sociological Association	
American Sociologist	0003-1232	1936-4784	Springer	
American Speech	0003-1283	1527-2133	Duke University Press	
American Statistician	0003-1305	1537-2731	Taylor and Francis Ltd.	
American Studies in Scandinavia	0044-8060	-	University Press of Southern Denmark	Unpaywall Open Access
American Translators Association Scholarly Monograph Series	0890-4111	-	John Benjamins Publishing Company	
American, British and Canadian Studies	1841-1487	1841-964X	Sciendo	Unpaywall Open Access
Americania	-	2174-0178	Universidad Pablo de Olavide	Unpaywall Open Access
Americas	0003-1615	1533-6247	Cambridge University Press	
Amerta Nutrition	2580-1163	2580-9776	Airlangga University Faculty of Public Health	Unpaywall Open Access
Amfiteater	-	1855-850X	Slovenian Theatre Institute	Unpaywall Open Access
Amfiteatru Economic	1582-9146	-	Bucharest University of Economic Studies Publishing House	Unpaywall Open Access
AMHA - Acta Medico-Historica Adriatica	1334-4366	-	Croatian Scientific Society for the History of Health	Unpaywall Open Access
AMIA ... Annual Symposium proceedings / AMIA Symposium. AMIA Symposium	1559-4076	1942-597X	American Medical Informatics Association	
Amino Acids	0939-4451	1438-2199	Springer	Unpaywall Open Access
Amme Idaresi Dergisi	1300-1795	-	Turkiye ve Orta Dogu Amme Idaresi Enstitusu	
Amoenitas	2384-9460	2421-7360	Fabrizio Serra Editore	
Ampersand	-	2215-0390	Elsevier Ltd	Unpaywall Open Access
Amphibia - Reptilia	0173-5373	1568-5381	Brill Academic Publishers	
Amphibian and Reptile Conservation	1083-446X	1525-9153	Amphibian and Reptile Conservation	
AMS Review	1869-814X	1869-8182	Springer New York	
Amsterdamer Beitrage zur Neueren Germanistik	0304-6257	1875-726X	Brill Academic Publishers	
Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of Amyloidosis	1350-6129	1744-2818	Informa Healthcare	
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration	2167-8421	2167-9223	Informa Healthcare	
Anadolu Arastirmalari	0569-9746	2667-629X	Istanbul Universitesi	Unpaywall Open Access
Anadolu Psikiyatri Dergisi	1302-6631	-	Cukurova University, Faculty of Medicine	
ANAE - Approche Neuropsychologique des Apprentissages chez l'Enfant	0999-792X	-	Approche Neuropsychologique des Apprentissages chez l'Enfant (A.N.A.E.)	
Anaerobe	1075-9964	1095-8274	Academic Press	
Anaesthesia	0003-2409	1365-2044	Wiley-Blackwell Publishing Ltd	
Anaesthesia and Intensive Care	0310-057X	1448-0271	Australian Society of Anaesthetists	
Anaesthesia and Intensive Care Medicine	1472-0299	1878-7584	Elsevier Ltd	
Anaesthesia Critical Care and Pain Medicine	-	2352-5568	Elsevier Masson s.r.l.	
Anaesthesia Reports	-	2637-3726	John Wiley and Sons Inc	
Anaesthesia, Pain and Intensive Care	1607-8322	2220-5799	Faculty of Anaesthesia, Pain and Intensive Care, AFMS	Unpaywall Open Access
Anaesthesiologie	2731-6858	2731-6866	Springer Medizin	
Anaesthesiology Intensive Therapy	1642-5758	1731-2531	Termedia Publishing House Ltd.	Unpaywall Open Access
Anafora	1849-2339	2459-5160	University of Osijek - Faculty of Humanities and Social Sciences	Unpaywall Open Access
Anais Brasileiros de Dermatologia	0365-0596	1806-4841	Elsevier Espana S.L.U	Unpaywall Open Access
Anais da Academia Brasileira de Ciencias	0001-3765	1678-2690	Academia Brasileira de Ciencias	Unpaywall Open Access
Anais do Museu Paulista	0101-4714	1982-0267	Universidade De Sao Paulo	Unpaywall Open Access
Analecta Hermeneutica	-	1918-7351	International Institute for Hermeneutics	
Analecta Hibernica	0791-6167	-	The Irish Manuscripts Commission Ltd.	
Analecta Veterinaria	0365-5148	1514-2590	National University of la Plata Faculty of Veterinary Sciences	Unpaywall Open Access
Analele Banatului: Arheologie - Istorie	1221-678X	-	Muzeul Banatului	
Analele Stiintifice ale Universitatii Al I Cuza din Iasi - Matematica	1221-8421	-	Universitatii Al.I.Cuza din Iasi	
Analele Stiintifice ale Universitatii Ovidius Constanta, Seria Matematica	1224-1784	1844-0835	Ovidius University	Unpaywall Open Access
Analele Universitatii din Bucuresti, Seria Stiinte Politice	1582-2486	2821-8078	Institute for Political Research of the Department of Political Science, University of Bucharest	Unpaywall Open Access
Analele Universitatii din Craiova - Seria Istorie	1224-5704	-	Universitaria Publishing House, University of Craiova	
Analele Universitatii din Craiova - Seria Stiinte Filologice, Lingvistica	1224-5712	-	Facultatea de Litere, Universitatea din Craiova	
Analele Universitatii din Craiova, Seria Filozofie	1841-8325	-	Universitatea din Craiova	
Analele Universitatii din Oradea, Fascicula Biologie	1224-5119	1844-7589	University of Oradea Publishing House	
Analele Universitatii Ovidius Constanta, Seria Filologie	1224-1768	2734-7060	Ovidius University	
Anales Cervantinos	0569-9878	1988-8325	CSIC Consejo Superior de Investigaciones Cientificas	Unpaywall Open Access
Anales de Filologia Francesa	0213-2958	1989-4678	Universidad de Murcia	Unpaywall Open Access
Anales de Geografia de la Universidad Complutense	0211-9803	1988-2378	Universidad Complutense Madrid	Unpaywall Open Access
Anales de Historia del Arte	0214-6452	1988-2491	Universidad Complutense Madrid	Unpaywall Open Access
Anales de Investigacion en Arquitectura	2301-1505	2301-1513	Universidad ORT Uruguay	Unpaywall Open Access
Anales de la Academia de Ciencias de Cuba	-	2304-0106	Editorial Ciencias Medicas	
Anales de la Asociacion Fisica Argentina	-	1850-1168	Centro de Investigaciones en Laseres y Aplicaciones	Unpaywall Open Access
Anales de la Catedra Francisco Suarez	0008-7750	2530-3716	Universidad de Granada	Unpaywall Open Access
Anales de la Facultad de Medicina	1025-5583	1609-9419	Universidad Nacional Mayor de San Marcos	Unpaywall Open Access
Anales de la Literatura Espanola Contemporanea	0272-1635	-	Society of Spanish and Spanish-American Studies	
Anales de Literatura Chilena	0717-6058	-	Centro de Estudios de Literatura Chilena, Instituto de Letras, Pontificia Universidad Catolica de Chile	
Anales de Literatura Espanola	0212-5889	2695-4257	University of Alicante	Unpaywall Open Access
Anales de Literatura Hispanoamericana	0210-4547	1988-2351	Universidad Complutense Madrid	
Anales de Pediatria	1695-4033	1695-9531	Asociacion Espanola de Pediatria	Unpaywall Open Access
Anales de Psicologia	0212-9728	1695-2294	Universidad de Murcia Servicio de Publicaciones	
Anales del Instituto de Investigaciones Esteticas	0185-1276	1870-3062	Universidad Nacional Autonoma de Mexico	Unpaywall Open Access
Anales del Jardin Botanico de Madrid	0211-1322	1988-3196	CSIC Consejo Superior de Investigaciones Cientificas	Unpaywall Open Access
Anales del Seminario de Historia de la Filosofia	0211-2337	1988-2564	Universidad Compultense Madrid	Unpaywall Open Access
Anales del Sistema Sanitario de Navarra	1137-6627	-	Gobierno de Navarra	
Anali Hrvatskog Politoloskog Drustva	1845-6707	1847-5299	Croatian Political Science Association	Unpaywall Open Access
Anali Pravnog Fakulteta u Beogradu	0003-2565	2406-2693	University of Belgrade Faculty of Law	Unpaywall Open Access
Anali Zavoda za Povijesne Znanosti Hrvatske Akademije Znanosti i Umjetnosti u Dubrovniku	1330-0598	1848-7815	Croatian Academy of Sciences and Arts	Unpaywall Open Access
Analise Psicologica	0870-8231	-	Instituto Superior de Psicologia Aplicada	
Analise Social	0003-2573	-	Instituto de Ciencias Sociais da Universidade de Lisboa	Unpaywall Open Access
Analisi	0211-2175	2340-5236	Universitat Autonoma de Barcelona	Unpaywall Open Access
Analisi Linguistica e Letteraria	1122-1917	1827-7985	EDUCatt	
Analisis Filosofico	0326-1301	1851-9636	Sociedad Argentina de Analisis Filosofico	Unpaywall Open Access
Analisis Politico	0121-4705	-	Universidad Nacional de Colombia	
Analitika i Kontrol	2073-1442	2073-1450	Ural Federal University	
Analiza i Egzystencja	1734-9923	2300-7621	Wydawnictwo Naukowe Uniwersytetu Szczecinskiego	Unpaywall Open Access
Analog Circuits and Signal Processing	1872-082X	2197-1854	Springer International Publishing	
Analog Integrated Circuits and Signal Processing	0925-1030	1573-1979	Springer Netherlands	
Analyse und Kritik	0171-5860	2365-9858	De Gruyter Oldenbourg	
Analyses of Social Issues and Public Policy	1529-7489	-	Wiley-Blackwell Publishing Ltd	
Analysis	0003-2638	1467-8284	Oxford University Press	
Analysis (Germany)	0174-4747	2196-6753	Walter de Gruyter GmbH	
Analysis and Applications	0219-5305	1793-6861	World Scientific	
Analysis and Geometry in Metric Spaces	-	2299-3274	Walter de Gruyter GmbH	Unpaywall Open Access
Analysis and Mathematical Physics	1664-2368	1664-235X	Springer Science + Business Media	
Analysis and PDE	2157-5045	1948-206X	Mathematical Sciences Publishers	
Analysis and Sensing	-	2629-2742	John Wiley and Sons Inc	
Analysis Mathematica	0133-3852	1588-273X	Akademiai Kiado ZRt.	
Analyst	0003-2654	1364-5528	Royal Society of Chemistry	
Analytic Methods in Accident Research	2213-6657	-	Elsevier B.V.	
Analytic Philosophy	2153-9596	2153-960X	John Wiley & Sons Inc.	
Analytica	-	2673-4532	Multidisciplinary Digital Publishing Institute (MDPI)	Unpaywall Open Access
Analytica Chimica Acta	0003-2670	1873-4324	Elsevier B.V.	
Analytical and Bioanalytical Chemistry	1618-2642	1618-2650	Springer Science and Business Media Deutschland GmbH	
Analytical and Bioanalytical Chemistry Research	-	2383-093X	Iranian Chemical Society	
Analytical and Bioanalytical Electrochemistry	2008-4226	-	Center of Excellence in Electrochemistry, Faculty of Chemistry, University of Tehran	
Analytical Biochemistry	0003-2697	1096-0309	Academic Press Inc.	
Analytical Cellular Pathology	2210-7177	2210-7185	John Wiley and Sons Inc	Unpaywall Open Access
Analytical Chemistry	0003-2700	1520-6882	American Chemical Society	
Analytical Chemistry Letters	2229-7928	2230-7532	Taylor and Francis Ltd.	
Analytical Letters	0003-2719	1532-236X	Taylor and Francis Ltd.	
Analytical Methods	1759-9660	1759-9679	Royal Society of Chemistry	
Analytical Methods in Environmental Chemistry Journal	2645-5552	2645-5382	AMEC Publisher	
Analytical Science Advances	-	2628-5452	John Wiley and Sons Inc	
Analytical Science and Technology	1225-0163	2288-8985	Korea Society of Analytical Science	
Analytical Sciences	0910-6340	1348-2246	Springer International Publishing AG	
Anaquel de Estudios Arabes	1130-3964	1988-2645	Universidad Compultense Madrid	Unpaywall Open Access
Anarchist Studies	0967-3393	2633-8270	Lawrence and Wishart	
