Journal Title,eISSN,Open Access Status,Included in R&P agreement,Subject,Publisher,Agreement Duration
SAM Advanced Management Journal,2996-6078,Hybrid,Yes,Multidisciplinary,Emerald,2025-2027
Sensor Review,1758-6828,Hybrid,Yes,Engineering,Emerald,2025-2027
Smart and Sustainable Built Environment,2046-6102,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
Social Enterprise Journal,1750-8533,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Social Responsibility Journal,1758-857X,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Social Studies Research and Practice,1933-5415,Hybrid,Yes,Education,Emerald,2025-2027
Social Transformations in Chinese Societies,2515-8481,Hybrid,Yes,Public policy & Environm Management,Emerald,2025-2027
Society and Business Review,1746-5699,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Soldering & Surface Mount Technology,1758-6836,Hybrid,Yes,Engineering,Emerald,2025-2027
South Asian Journal of Business Studies,2398-6298,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
"Sport, Business and Management: An International Journal",2042-6798,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Strategic Direction,1758-8588,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Strategic HR Review,1758-8537,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Strategy & Leadership,1758-9568,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Studies in Economics and Finance,1755-6791,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Studies in Graduate and Postdoctoral Education,2398-4694,Hybrid,Yes,Education,Emerald,2025-2027
Supply Chain Management: An International Journal,1758-6852,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
"Sustainability Accounting, Management and Policy Journal",2040-803X,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Team Performance Management: An International Journal,1758-6860,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Technological Sustainability,2754-1320,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
The Bottom Line,2054-1724,Hybrid,Yes,Library Science,Emerald,2025-2027
The CASE Journal,1544-9106,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
The Electronic Library,1758-616X,Hybrid,Yes,Library Science,Emerald,2025-2027
The International Journal of Logistics Management,1758-6550,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
The Journal of Adult Protection,2042-8669,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
"The Journal of Mental Health Training, Education and Practice",2042-8707,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
The Journal of Risk Finance,2331-2947,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
The Learning Organization,1758-7905,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
The TQM Journal,1754-274X,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
Therapeutic Communities,2052-4730,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Tizard Learning Disability Review,2042-8782,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Tourism Review,1759-8451,Hybrid,Yes,Tourism & Hospitality Management,Emerald,2025-2027
"Transforming Government: People, Process and Policy",1750-6174,Hybrid,Yes,Public policy & Environm Management,Emerald,2025-2027
VINE Journal of Information and Knowledge Management Systems,2059-5905,Hybrid,Yes,Records & Knowledge Managemennt,Emerald,2025-2027
Working with Older People,2042-8790,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
World Journal of Engineering,2515-8082,Hybrid,Yes,Engineering,Emerald,2025-2027
Worldwide Hospitality and Tourism Themes,1755-4225,Hybrid,Yes,Tourism & Hospitality Management,Emerald,2025-2027
Young Consumers: Insight and Ideas for Responsible Marketers,1758-7212,Hybrid,Yes,Marketing,Emerald,2025-2027
