Journal title,ISSN,eISSN,Publisher details
CHRONIC OBSTRUCTIVE PULMONARY DISEASES-JOURNAL OF THE COPD FOUNDATION,2372-952X,2372-952X,COPD FOUNDATION
CHRONIC RESPIRATORY DISEASE,1479-9723,1479-9731,SAGE PUBLICATIONS LTD
CHRONOBIOLOGY INTERNATIONAL,0742-0528,1525-6073,TAYLOR & FRANCIS INC
CIENCIA E AGROTECNOLOGIA,1413-7054,1981-1829,UNIV FEDERAL LAVRAS-UFLA
CIENCIA E TECNICA VITIVINICOLA,,2416-3953,ESTACAO VITIVINICOLA NACIONAL
CIENCIA FLORESTAL,0103-9954,1980-5098,UNIV FEDERAL SANTA MARIA
CIENCIA RURAL,0103-8478,1678-4596,UNIV FEDERAL SANTA MARIA
CIENCIAS MARINAS,0185-3880,2395-9053,"INST INVESTIGACIONES OCEANOLOGICAS, U A B C"
CIN-COMPUTERS INFORMATICS NURSING,1538-2931,1538-9774,LIPPINCOTT WILLIAMS & WILKINS
CIRCUITS SYSTEMS AND SIGNAL PROCESSING,0278-081X,1531-5878,SPRINGER BIRKHAUSER
CIRCUIT WORLD,0305-6120,1758-602X,EMERALD GROUP PUBLISHING LTD
CIRCULATION,0009-7322,1524-4539,LIPPINCOTT WILLIAMS & WILKINS
CIRCULATION-ARRHYTHMIA AND ELECTROPHYSIOLOGY,1941-3149,1941-3084,LIPPINCOTT WILLIAMS & WILKINS
CIRCULATION-CARDIOVASCULAR IMAGING,1941-9651,1942-0080,LIPPINCOTT WILLIAMS & WILKINS
CIRCULATION-CARDIOVASCULAR INTERVENTIONS,1941-7640,1941-7632,LIPPINCOTT WILLIAMS & WILKINS
CIRCULATION-CARDIOVASCULAR QUALITY AND OUTCOMES,1941-7705,1941-7713,LIPPINCOTT WILLIAMS & WILKINS
CIRCULATION-GENOMIC AND PRECISION MEDICINE,2574-8300,2574-8300,LIPPINCOTT WILLIAMS & WILKINS
CIRCULATION-HEART FAILURE,1941-3289,1941-3297,LIPPINCOTT WILLIAMS & WILKINS
CIRCULATION JOURNAL,1346-9843,1347-4820,JAPANESE CIRCULATION SOC
CIRCULATION RESEARCH,0009-7330,1524-4571,LIPPINCOTT WILLIAMS & WILKINS
CIRP ANNALS-MANUFACTURING TECHNOLOGY,0007-8506,1726-0604,ELSEVIER
CIRP JOURNAL OF MANUFACTURING SCIENCE AND TECHNOLOGY,1755-5817,1878-0016,ELSEVIER
CIRUGIA ESPANOLA,0009-739X,1578-147X,ELSEVIER ESPANA SLU
CIRUGIA Y CIRUJANOS,0009-7411,0009-7411,MEXICAN ACAD SURGERY
CIVIL ENGINEERING,0885-7024,0885-7024,ASCE-AMER SOC CIVIL ENGINEERS
CIVIL ENGINEERING AND ENVIRONMENTAL SYSTEMS,1028-6608,1029-0249,TAYLOR & FRANCIS LTD
CLADISTICS,0748-3007,1096-0031,WILEY
CLASSICAL AND QUANTUM GRAVITY,0264-9381,1361-6382,IOP PUBLISHING LTD
CLAY MINERALS,0009-8558,1471-8030,CAMBRIDGE UNIV PRESS
CLAYS AND CLAY MINERALS,0009-8604,1552-8367,CAMBRIDGE UNIV PRESS
CLEAN-SOIL AIR WATER,1863-0650,1863-0669,WILEY
CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,1618-954X,1618-9558,SPRINGER
CLEFT PALATE CRANIOFACIAL JOURNAL,1055-6656,1545-1569,SAGE PUBLICATIONS INC
CLEVELAND CLINIC JOURNAL OF MEDICINE,0891-1150,1939-2869,CLEVELAND CLINIC
CLIMACTERIC,1369-7137,1473-0804,TAYLOR & FRANCIS LTD
CLIMATE DYNAMICS,0930-7575,1432-0894,SPRINGER
CLIMATE OF THE PAST,1814-9324,1814-9332,COPERNICUS GESELLSCHAFT MBH
CLIMATE RESEARCH,0936-577X,1616-1572,INTER-RESEARCH
CLIMATE RISK MANAGEMENT,2212-0963,2212-0963,ELSEVIER
CLIMATE SERVICES,2405-8807,2405-8807,ELSEVIER
CLIMATIC CHANGE,0165-0009,1573-1480,SPRINGER
CLINICA CHIMICA ACTA,0009-8981,1873-3492,ELSEVIER
CLINICAL ANATOMY,0897-3806,1098-2353,WILEY
CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS,1076-0296,1938-2723,SAGE PUBLICATIONS INC
CLINICAL AND EXPERIMENTAL ALLERGY,0954-7894,1365-2222,WILEY
CLINICAL AND EXPERIMENTAL DERMATOLOGY,0307-6938,1365-2230,OXFORD UNIV PRESS
CLINICAL AND EXPERIMENTAL HYPERTENSION,1064-1963,1525-6006,TAYLOR & FRANCIS INC
CLINICAL AND EXPERIMENTAL IMMUNOLOGY,0009-9104,1365-2249,OXFORD UNIV PRESS
CLINICAL AND EXPERIMENTAL MEDICINE,1591-8890,1591-9528,SPRINGER-VERLAG ITALIA SRL
CLINICAL AND EXPERIMENTAL NEPHROLOGY,1342-1751,1437-7799,SPRINGER
CLINICAL AND EXPERIMENTAL OBSTETRICS & GYNECOLOGY,0390-6663,2709-0094,IMR PRESS
CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY,1442-6404,1442-9071,WILEY
CLINICAL AND EXPERIMENTAL OPTOMETRY,0816-4622,1444-0938,TAYLOR & FRANCIS LTD
CLINICAL AND EXPERIMENTAL OTORHINOLARYNGOLOGY,1976-8710,2005-0720,KOREAN SOC OTORHINOLARYNGOL
CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY,0305-1870,1440-1681,WILEY
CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,0392-856X,1593-098X,CLINICAL & EXPER RHEUMATOLOGY
CLINICAL AND INVESTIGATIVE MEDICINE,0147-958X,1488-2353,CANADIAN SOC CLINICAL INVESTIGATION
CLINICAL AND MOLECULAR HEPATOLOGY,2287-2728,2287-285X,KOREAN ASSOC STUDY LIVER
CLINICAL AND TRANSLATIONAL ALLERGY,,2045-7022,WILEY
CLINICAL AND TRANSLATIONAL GASTROENTEROLOGY,,2155-384X,LIPPINCOTT WILLIAMS & WILKINS
CLINICAL AND TRANSLATIONAL IMAGING,2281-5872,2281-7565,SPRINGER-VERLAG ITALIA SRL
CLINICAL AND TRANSLATIONAL MEDICINE,2001-1326,2001-1326,JOHN WILEY & SONS LTD
CLINICAL AND TRANSLATIONAL RADIATION ONCOLOGY,,2405-6308,ELSEVIER IRELAND LTD
CLINICAL AUTONOMIC RESEARCH,0959-9851,1619-1560,SPRINGER HEIDELBERG
CLINICAL BIOCHEMISTRY,0009-9120,1873-2933,PERGAMON-ELSEVIER SCIENCE LTD
CLINICAL BIOMECHANICS,0268-0033,1879-1271,ELSEVIER SCI LTD
CLINICAL BREAST CANCER,1526-8209,1938-0666,"CIG MEDIA GROUP, LP"
CLINICAL CANCER RESEARCH,1078-0432,1557-3265,AMER ASSOC CANCER RESEARCH
CLINICAL CARDIOLOGY,0160-9289,1932-8737,WILEY
CLINICAL CHEMISTRY,0009-9147,1530-8561,OXFORD UNIV PRESS INC
CLINICAL CHEMISTRY AND LABORATORY MEDICINE,1434-6621,1437-4331,WALTER DE GRUYTER GMBH
CLINICAL CHILD PSYCHOLOGY AND PSYCHIATRY,1359-1045,1461-7021,SAGE PUBLICATIONS INC
CLINICAL COLORECTAL CANCER,1533-0028,1938-0674,"CIG MEDIA GROUP, LP"
CLINICAL COSMETIC AND INVESTIGATIONAL DERMATOLOGY,1178-7015,1178-7015,DOVE MEDICAL PRESS LTD
CLINICAL DRUG INVESTIGATION,1173-2563,1179-1918,ADIS INT LTD
CLINICAL DYSMORPHOLOGY,0962-8827,1473-5717,LIPPINCOTT WILLIAMS & WILKINS
CLINICAL EEG AND NEUROSCIENCE,1550-0594,2169-5202,SAGE PUBLICATIONS INC
CLINICAL ENDOCRINOLOGY,0300-0664,1365-2265,WILEY
CLINICAL EPIDEMIOLOGY,1179-1349,1179-1349,DOVE MEDICAL PRESS LTD
CLINICAL EPIGENETICS,1868-7075,1868-7083,BMC
CLINICAL & EXPERIMENTAL METASTASIS,0262-0898,1573-7276,SPRINGER
CLINICAL GASTROENTEROLOGY AND HEPATOLOGY,1542-3565,1542-7714,ELSEVIER SCIENCE INC
CLINICAL GENETICS,0009-9163,1399-0004,WILEY
CLINICAL GENITOURINARY CANCER,1558-7673,1938-0682,"CIG MEDIA GROUP, LP"
CLINICAL GERONTOLOGIST,0731-7115,1545-2301,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
CLINICAL HEMORHEOLOGY AND MICROCIRCULATION,1386-0291,1875-8622,IOS PRESS
CLINICAL IMAGING,0899-7071,1873-4499,ELSEVIER SCIENCE INC
CLINICAL IMMUNOLOGY,1521-6616,1521-7035,ACADEMIC PRESS INC ELSEVIER SCIENCE
CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH,1523-0899,1708-8208,WILEY
CLINICAL INFECTIOUS DISEASES,1058-4838,1537-6591,OXFORD UNIV PRESS INC
CLINICAL INTERVENTIONS IN AGING,,1178-1998,DOVE MEDICAL PRESS LTD
CLINICAL JOURNAL OF ONCOLOGY NURSING,1092-1095,1538-067X,ONCOLOGY NURSING SOC
CLINICAL JOURNAL OF PAIN,0749-8047,1536-5409,LIPPINCOTT WILLIAMS & WILKINS
CLINICAL JOURNAL OF SPORT MEDICINE,1050-642X,1536-3724,LIPPINCOTT WILLIAMS & WILKINS
CLINICAL JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,1555-9041,1555-905X,AMER SOC NEPHROLOGY
CLINICAL KIDNEY JOURNAL,2048-8505,2048-8513,OXFORD UNIV PRESS
CLINICAL LABORATORY,1433-6510,1433-6510,CLIN LAB PUBL
CLINICAL LINGUISTICS & PHONETICS,0269-9206,1464-5076,TAYLOR & FRANCIS INC
CLINICAL LUNG CANCER,1525-7304,1938-0690,"CIG MEDIA GROUP, LP"
CLINICAL LYMPHOMA MYELOMA & LEUKEMIA,2152-2650,2152-2669,"CIG MEDIA GROUP, LP"
CLINICAL MEDICINE,1470-2118,1473-4893,ROY COLL PHYS LONDON EDITORIAL OFFICE
CLINICAL MEDICINE INSIGHTS-ONCOLOGY,,1179-5549,SAGE PUBLICATIONS LTD
CLINICAL MICROBIOLOGY AND INFECTION,1198-743X,1469-0691,ELSEVIER SCI LTD
CLINICAL MICROBIOLOGY REVIEWS,0893-8512,1098-6618,AMER SOC MICROBIOLOGY
CLINICAL NEPHROLOGY,0301-0430,0301-0430,DUSTRI-VERLAG DR KARL FEISTLE
CLINICAL NEUROLOGY AND NEUROSURGERY,0303-8467,1872-6968,ELSEVIER
CLINICAL NEUROPATHOLOGY,0722-5091,0722-5091,DUSTRI-VERLAG DR KARL FEISTLE
CLINICAL NEUROPHARMACOLOGY,0362-5664,1537-162X,LIPPINCOTT WILLIAMS & WILKINS
CLINICAL NEUROPHYSIOLOGY,1388-2457,1872-8952,ELSEVIER IRELAND LTD
CLINICAL NEUROPSYCHOLOGIST,1385-4046,1744-4144,TAYLOR & FRANCIS INC
CLINICAL NEURORADIOLOGY,1869-1439,1869-1447,SPRINGER HEIDELBERG
CLINICAL NUCLEAR MEDICINE,0363-9762,1536-0229,LIPPINCOTT WILLIAMS & WILKINS
CLINICAL NURSE SPECIALIST,0887-6274,1538-9782,LIPPINCOTT WILLIAMS & WILKINS
CLINICAL NURSING RESEARCH,1054-7738,1552-3799,SAGE PUBLICATIONS INC
CLINICAL NUTRITION,0261-5614,1532-1983,CHURCHILL LIVINGSTONE
CLINICAL OBSTETRICS AND GYNECOLOGY,0009-9201,1532-5520,LIPPINCOTT WILLIAMS & WILKINS
CLINICAL ONCOLOGY,0936-6555,1433-2981,ELSEVIER SCIENCE LONDON
CLINICAL ORAL IMPLANTS RESEARCH,0905-7161,1600-0501,WILEY
CLINICAL ORAL INVESTIGATIONS,1432-6981,1436-3771,SPRINGER HEIDELBERG
CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,0009-921X,1528-1132,LIPPINCOTT WILLIAMS & WILKINS
CLINICAL OTOLARYNGOLOGY,1749-4478,1749-4486,WILEY
CLINICAL PEDIATRICS,0009-9228,1938-2707,SAGE PUBLICATIONS INC
CLINICAL PHARMACOKINETICS,0312-5963,1179-1926,ADIS INT LTD
CLINICAL PHARMACOLOGY IN DRUG DEVELOPMENT,2160-7648,2160-7648,WILEY
CLINICAL PHARMACOLOGY & THERAPEUTICS,0009-9236,1532-6535,WILEY
CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING,1475-0961,1475-097X,WILEY
CLINICAL PROTEOMICS,1542-6416,1559-0275,BMC
CLINICAL PSYCHOLOGICAL SCIENCE,2167-7026,2167-7034,SAGE PUBLICATIONS INC
CLINICAL PSYCHOLOGIST,1328-4207,1742-9552,TAYLOR & FRANCIS LTD
CLINICAL PSYCHOPHARMACOLOGY AND NEUROSCIENCE,1738-1088,2093-4327,KOREAN COLL NEUROPSYCHOPHARMACOLOGY
CLINICAL RADIOLOGY,0009-9260,1365-229X,W B SAUNDERS CO LTD
CLINICAL REHABILITATION,0269-2155,1477-0873,SAGE PUBLICATIONS LTD
CLINICAL RESEARCH IN CARDIOLOGY,1861-0684,1861-0692,SPRINGER HEIDELBERG
CLINICAL RESPIRATORY JOURNAL,1752-6981,1752-699X,WILEY
CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,1080-0549,1559-0267,HUMANA PRESS INC
CLINICAL RHEUMATOLOGY,0770-3198,1434-9949,SPRINGER LONDON LTD
CLINICAL SCIENCE,0143-5221,1470-8736,PORTLAND PRESS LTD
CLINICAL SIMULATION IN NURSING,1876-1399,1876-1402,ELSEVIER SCIENCE INC
CLINICAL SPINE SURGERY,2380-0186,2380-0186,LIPPINCOTT WILLIAMS & WILKINS
CLINICAL THERAPEUTICS,0149-2918,1879-114X,ELSEVIER
CLINICAL TOXICOLOGY,1556-3650,1556-9519,TAYLOR & FRANCIS LTD
CLINICAL & TRANSLATIONAL IMMUNOLOGY,,2050-0068,WILEY
CLINICAL & TRANSLATIONAL ONCOLOGY,1699-048X,1699-3055,SPRINGER INT PUBL AG
CLINICAL TRANSPLANTATION,0902-0063,1399-0012,WILEY
CLINICAL TRIALS,1740-7745,1740-7753,SAGE PUBLICATIONS LTD
CLINICS,1807-5932,1980-5322,ELSEVIER ESPANA
CLINICS AND RESEARCH IN HEPATOLOGY AND GASTROENTEROLOGY,2210-7401,2210-741X,"ELSEVIER MASSON, CORPORATION OFFICE"
CLINICS IN CHEST MEDICINE,0272-5231,1557-8216,W B SAUNDERS CO-ELSEVIER INC
CLINICS IN COLON AND RECTAL SURGERY,1531-0043,1530-9681,THIEME MEDICAL PUBL INC
CLINICS IN DERMATOLOGY,0738-081X,1879-1131,ELSEVIER SCIENCE INC
CLINICS IN GERIATRIC MEDICINE,0749-0690,1879-8853,W B SAUNDERS CO-ELSEVIER INC
CLINICS IN LABORATORY MEDICINE,0272-2712,1557-9832,W B SAUNDERS CO-ELSEVIER INC
CLINICS IN LIVER DISEASE,1089-3261,1557-8224,W B SAUNDERS CO-ELSEVIER INC
CLINICS IN ORTHOPEDIC SURGERY,2005-291X,2005-4408,KOREAN ORTHOPAEDIC ASSOC
CLINICS IN PERINATOLOGY,0095-5108,1557-9840,W B SAUNDERS CO-ELSEVIER INC
CLINICS IN PLASTIC SURGERY,0094-1298,1558-0504,W B SAUNDERS CO-ELSEVIER INC
CLINICS IN PODIATRIC MEDICINE AND SURGERY,0891-8422,1558-2302,W B SAUNDERS CO-ELSEVIER INC
CLINICS IN SPORTS MEDICINE,0278-5919,1556-228X,W B SAUNDERS CO-ELSEVIER INC
CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,1386-7857,1573-7543,SPRINGER
CMC-COMPUTERS MATERIALS & CONTINUA,1546-2218,1546-2226,TECH SCIENCE PRESS
CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,1526-1492,1526-1506,TECH SCIENCE PRESS
CNS DRUGS,1172-7047,1179-1934,ADIS INT LTD
CNS & NEUROLOGICAL DISORDERS-DRUG TARGETS,1871-5273,1996-3181,BENTHAM SCIENCE PUBL
CNS NEUROSCIENCE & THERAPEUTICS,1755-5930,1755-5949,WILEY
CNS SPECTRUMS,1092-8529,2165-6509,CAMBRIDGE UNIV PRESS
COASTAL ENGINEERING,0378-3839,1872-7379,ELSEVIER
COASTAL ENGINEERING JOURNAL,2166-4250,1793-6292,TAYLOR & FRANCIS LTD
COASTAL MANAGEMENT,0892-0753,1521-0421,TAYLOR & FRANCIS INC
COATINGS,2079-6412,2079-6412,MDPI
COATINGSTECH,2475-1499,2475-8469,AM COATINGS ASSOC-ACA
COCHRANE DATABASE OF SYSTEMATIC REVIEWS,1469-493X,1361-6137,WILEY
COGENT FOOD & AGRICULTURE,2331-1932,2331-1932,TAYLOR & FRANCIS LTD
COGNITION TECHNOLOGY & WORK,1435-5558,1435-5566,SPRINGER LONDON LTD
COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,1530-7026,1531-135X,SPRINGER
COGNITIVE AND BEHAVIORAL NEUROLOGY,1543-3633,1543-3641,LIPPINCOTT WILLIAMS & WILKINS
COGNITIVE COMPUTATION,1866-9956,1866-9964,SPRINGER
COGNITIVE NEURODYNAMICS,1871-4080,1871-4099,SPRINGER
COGNITIVE NEUROPSYCHIATRY,1354-6805,1464-0619,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
COGNITIVE NEUROPSYCHOLOGY,0264-3294,1464-0627,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
COGNITIVE NEUROSCIENCE,1758-8928,1758-8936,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
COGNITIVE PSYCHOLOGY,0010-0285,1095-5623,ACADEMIC PRESS INC ELSEVIER SCIENCE
COGNITIVE SYSTEMS RESEARCH,2214-4366,1389-0417,ELSEVIER
COLD REGIONS SCIENCE AND TECHNOLOGY,0165-232X,1872-7441,ELSEVIER
COLD SPRING HARBOR PERSPECTIVES IN BIOLOGY,1943-0264,1943-0264,"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT"
COLD SPRING HARBOR PERSPECTIVES IN MEDICINE,2157-1422,2157-1422,"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT"
COLEOPTERISTS BULLETIN,0010-065X,1938-4394,COLEOPTERISTS SOC
COLLECTANEA MATHEMATICA,0010-0757,2038-4815,SPRINGER-VERLAG ITALIA SRL
COLLEGIAN,1322-7696,1876-7575,ELSEVIER
COLLOID AND INTERFACE SCIENCE COMMUNICATIONS,2215-0382,2215-0382,ELSEVIER
COLLOID AND POLYMER SCIENCE,0303-402X,1435-1536,SPRINGER
COLLOID JOURNAL,1061-933X,1608-3067,PLEIADES PUBLISHING INC
COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,0927-7757,1873-4359,ELSEVIER
COLLOIDS AND SURFACES B-BIOINTERFACES,0927-7765,1873-4367,ELSEVIER
COLLOQUIUM MATHEMATICUM,0010-1354,1730-6302,ARS POLONA-RUCH
COLOMBIA MEDICA,1657-9534,0120-8322,CORPORACION EDITORA MEDICA VALLE
COLORATION TECHNOLOGY,1472-3581,1478-4408,WILEY
COLORECTAL DISEASE,1462-8910,1463-1318,WILEY
COLOR RESEARCH AND APPLICATION,0361-2317,1520-6378,WILEY
COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING,1386-2073,1875-5402,BENTHAM SCIENCE PUBL LTD
COMBINATORICA,0209-9683,1439-6912,SPRINGER HEIDELBERG
COMBINATORICS PROBABILITY AND COMPUTING,0963-5483,1469-2163,CAMBRIDGE UNIV PRESS
COMBUSTION AND FLAME,0010-2180,1556-2921,ELSEVIER SCIENCE INC
COMBUSTION EXPLOSION AND SHOCK WAVES,0010-5082,1573-8345,MAIK NAUKA/INTERPERIODICA/SPRINGER
COMBUSTION SCIENCE AND TECHNOLOGY,0010-2202,1563-521X,TAYLOR & FRANCIS INC
COMBUSTION THEORY AND MODELLING,1364-7830,1741-3559,TAYLOR & FRANCIS LTD
COMMENTARII MATHEMATICI HELVETICI,0010-2571,1420-8946,EUROPEAN MATHEMATICAL SOC-EMS
COMMENTS ON INORGANIC CHEMISTRY,0260-3594,1548-9574,TAYLOR & FRANCIS LTD
COMMUNICATIONS BIOLOGY,,2399-3642,NATURE PORTFOLIO
COMMUNICATIONS CHEMISTRY,2399-3669,2399-3669,NATURE PORTFOLIO
COMMUNICATIONS EARTH & ENVIRONMENT,,2662-4435,SPRINGERNATURE
COMMUNICATIONS IN ALGEBRA,0092-7872,1532-4125,TAYLOR & FRANCIS INC
COMMUNICATIONS IN ANALYSIS AND GEOMETRY,1019-8385,1944-9992,"INT PRESS BOSTON, INC"
COMMUNICATIONS IN ANALYSIS AND MECHANICS,,2836-3310,AMER INST MATHEMATICAL SCIENCES-AIMS
COMMUNICATIONS IN APPLIED MATHEMATICS AND COMPUTATIONAL SCIENCE,1559-3940,2157-5452,MATHEMATICAL SCIENCE PUBL
COMMUNICATIONS IN COMPUTATIONAL PHYSICS,1815-2406,1991-7120,GLOBAL SCIENCE PRESS
COMMUNICATIONS IN CONTEMPORARY MATHEMATICS,0219-1997,1793-6683,WORLD SCIENTIFIC PUBL CO PTE LTD
COMMUNICATIONS IN MATHEMATICAL PHYSICS,0010-3616,1432-0916,SPRINGER
COMMUNICATIONS IN MATHEMATICAL SCIENCES,1539-6746,1539-6746,"INT PRESS BOSTON, INC"
COMMUNICATIONS IN MATHEMATICS AND STATISTICS,2194-6701,2194-671X,SPRINGER HEIDELBERG
COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION,1007-5704,1878-7274,ELSEVIER
COMMUNICATIONS IN NUMBER THEORY AND PHYSICS,1931-4523,1931-4531,"INT PRESS BOSTON, INC"
COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,0360-5302,1532-4133,TAYLOR & FRANCIS INC
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,0010-3624,1532-2416,TAYLOR & FRANCIS INC
COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,0361-0918,1532-4141,TAYLOR & FRANCIS INC
COMMUNICATIONS IN STATISTICS-THEORY AND METHODS,0361-0926,1532-415X,TAYLOR & FRANCIS INC
COMMUNICATIONS IN THEORETICAL PHYSICS,0253-6102,1572-9494,IOP PUBLISHING LTD
COMMUNICATIONS IN TRANSPORTATION RESEARCH,2772-4247,2772-4247,ELSEVIER
COMMUNICATIONS OF THE ACM,0001-0782,1557-7317,ASSOC COMPUTING MACHINERY
COMMUNICATIONS ON PURE AND APPLIED ANALYSIS,1534-0392,1553-5258,AMER INST MATHEMATICAL SCIENCES-AIMS
COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,0010-3640,1097-0312,WILEY
COMMUNICATIONS PHYSICS,2399-3650,2399-3650,NATURE PORTFOLIO
COMMUNITY DENTAL HEALTH,0265-539X,0265-539X,F D I WORLD DENTAL PRESS LTD
COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,0301-5661,1600-0528,WILEY
COMMUNITY ECOLOGY,1585-8553,1588-2756,SPRINGER HEIDELBERG
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,1095-6433,1531-4332,ELSEVIER SCIENCE INC
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,1096-4959,1879-1107,ELSEVIER SCIENCE INC
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,1532-0456,1878-1659,ELSEVIER SCIENCE INC
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY D-GENOMICS & PROTEOMICS,1744-117X,1878-0407,ELSEVIER SCIENCE INC
COMPARATIVE CYTOGENETICS,1993-0771,1993-078X,PENSOFT PUBLISHERS
COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES,0147-9571,1878-1667,ELSEVIER SCI LTD
COMPARATIVE MEDICINE,1532-0820,1532-0820,AMER ASSOC LABORATORY ANIMAL SCIENCE
COMPARATIVE PARASITOLOGY,1525-2647,1938-2952,HELMINTHOLOGICAL SOC WASHINGTON
COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,0332-1649,0332-1649,EMERALD GROUP PUBLISHING LTD
COMPLEMENTARY MEDICINE RESEARCH,2504-2092,2504-2106,KARGER
COMPLEMENTARY THERAPIES IN CLINICAL PRACTICE,1744-3881,1873-6947,ELSEVIER SCI LTD
COMPLEMENTARY THERAPIES IN MEDICINE,0965-2299,1873-6963,CHURCHILL LIVINGSTONE
COMPLEX ANALYSIS AND OPERATOR THEORY,1661-8254,1661-8262,SPRINGER BASEL AG
COMPLEX & INTELLIGENT SYSTEMS,2199-4536,2198-6053,SPRINGER HEIDELBERG
COMPLEXITY,1076-2787,1099-0526,WILEY
COMPLEX VARIABLES AND ELLIPTIC EQUATIONS,1747-6933,1747-6941,TAYLOR & FRANCIS LTD
COMPOSITE INTERFACES,0927-6440,1568-5543,TAYLOR & FRANCIS LTD
COMPOSITES AND ADVANCED MATERIALS,,2634-9833,SAGE PUBLICATIONS LTD
COMPOSITES COMMUNICATIONS,2452-2139,2452-2139,ELSEVIER SCI LTD
COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,1359-835X,1878-5840,ELSEVIER SCI LTD
COMPOSITES PART B-ENGINEERING,1359-8368,1879-1069,ELSEVIER SCI LTD
COMPOSITES SCIENCE AND TECHNOLOGY,0266-3538,1879-1050,ELSEVIER SCI LTD
COMPOSITE STRUCTURES,0263-8223,1879-1085,ELSEVIER SCI LTD
COMPOSITIO MATHEMATICA,0010-437X,1570-5846,CAMBRIDGE UNIV PRESS
COMPOST SCIENCE & UTILIZATION,1065-657X,2326-2397,TAYLOR & FRANCIS INC
COMPREHENSIVE PHYSIOLOGY,2040-4603,2040-4603,WILEY
COMPREHENSIVE PSYCHIATRY,0010-440X,1532-8384,W B SAUNDERS CO-ELSEVIER INC
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,1541-4337,1541-4337,WILEY
COMPTES RENDUS BIOLOGIES,1631-0691,1768-3238,ACAD SCIENCES
COMPTES RENDUS CHIMIE,1631-0748,1878-1543,ACAD SCIENCES
COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES,1310-1331,,PUBL HOUSE BULGARIAN ACAD SCI
COMPTES RENDUS GEOSCIENCE,1631-0713,1778-7025,ACAD SCIENCES
COMPTES RENDUS MATHEMATIQUE,1631-073X,1778-3569,ACAD SCIENCES
COMPTES RENDUS MECANIQUE,1631-0721,1873-7234,ACAD SCIENCES
COMPTES RENDUS PALEVOL,1631-0683,1777-571X,ACAD SCIENCES
COMPTES RENDUS PHYSIQUE,1631-0705,1878-1535,ACAD SCIENCES
COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY,1381-298X,1572-9346,SPRINGER
COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,2001-0370,2001-0370,ELSEVIER
COMPUTATIONAL AND THEORETICAL CHEMISTRY,2210-271X,1872-7999,ELSEVIER
COMPUTATIONAL & APPLIED MATHEMATICS,2238-3603,1807-0302,SPRINGER HEIDELBERG
COMPUTATIONAL BIOLOGY AND CHEMISTRY,1476-9271,1476-928X,ELSEVIER SCI LTD
COMPUTATIONAL COMPLEXITY,1016-3328,1420-8954,SPRINGER BASEL AG
COMPUTATIONAL ECONOMICS,0927-7099,1572-9974,SPRINGER
