Journal title,ISSN,eISSN,Publisher details,Publisher details2,Country of Publication,Language,Web Address
Preventive Veterinary Medicine,0167-5877,1873-1716,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/01675877
The Veterinary Journal,1090-0233,1532-2971,Elsevier,,United Kingdom,English,http://www.sciencedirect.com/science/journal/10900233
Theriogenology,0093-691X,1879-3231,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/0093691X
Transboundary and Emerging Diseases,1865-1674,1865-1682,John Wiley & Sons,Hindawi,Germany,English,https://www.hindawi.com/journals/tbed/
Veterinary Microbiology,0378-1135,1873-2542,,,,,http://www.sciencedirect.com/science/journal/03781135
Veterinary Parasitology,0304-4017,1873-2550,Elsevier,,Netherlands,English,https://www.sciencedirect.com/journal/veterinary-parasitology
Veterinary pathology,0300-9858,1544-2217,,,,,http://www.uk.sagepub.com/home.nav
Veterinary research (VR),0928-4249,1297-9716,BioMed Central (BMC),,"France, United Kingdom",Multiple languages,https://veterinaryresearch.biomedcentral.com/
Zoonoses and Public Health,1863-1959,1863-2378,Wiley-VCH,,Germany,English,https://onlinelibrary.wiley.com/journal/18632378
African Archaeological Review,0263-0338,1572-9842,Springer,,Netherlands,English,http://www.springer.com/social+sciences/archaeology+%26+anthropology/journal/10437
American Antiquity,0002-7316,2325-5064,,Society for American Archaeology,United States,English,http://www.saa.org/AbouttheSociety/Publications/AmericanAntiquity/tabid/124/Default.aspx
American Journal of Archaeology,0002-9114,1939-828X,,Archaeological Institute of America,United States,English,http://www.ajaonline.org/index.php?ptype=page&pid=13/
Annual of the British School at Athens,0068-2454,2045-2403,Cambridge University Press,,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=ATH
Antike Kunst,0003-5688,,,Association of Friends of Classical Art,Switzerland,Multiple languages,http://www.antikekunst.ch
Antiquity,0003-598X,1745-1744,Cambridge University Press,,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=aqy
Arabian Archaeology and Epigraphy,0905-7196,1600-0471,John Wiley & Sons,,United States,Multiple languages,https://onlinelibrary.wiley.com/journal/16000471
Archaeological Dialogues,1380-2038,1478-2294,Cambridge University Press,,United Kingdom,English,https://www.cambridge.org/core/journals/archaeological-dialogues
Archäologischer Anzeiger,0003-8105,2510-4713,Verlag Philipp von Zabern,IDAI,Germany,Multiple languages,https://publications.dainst.org/journals/index.php/aa
Austrian Annual Journal,0078-3579,1729-5416,,Verlag Holzhausen GmbH,Austria,Multiple languages,https://www.oeaw.ac.at/oeai/publikationen/zeitschriften/
Bericht der Römisch-Germanischen Kommission,0341-9312,2364-6012,Verlag Philipp von Zabern,Deutsches Archäologisches Institut,Germany,German,https://journals.ub.uni-heidelberg.de/index.php/berrgk
Bulletin de Correspondance Hellénique,0007-4217,2241-0104,,École française d’Athènes,Greece,French,https://www.persee.fr/collection/bch
Cambridge Archaeological Journal,0959-7743,1474-0540,Cambridge University Press,,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=CAJ
Conservation and Management of Archaeological Sites,1350-5033,1753-5522,Taylor & Francis,,United Kingdom,English,https://www.tandfonline.com/toc/ycma20/current
Curator: The Museum Journal,0011-3069,2151-6952,John Wiley & Sons,American Museum of Natural History,United States,English,https://onlinelibrary.wiley.com/journal/21516952
Environmental Archaeology,1461-4103,1749-6314,Taylor & Francis,,United Kingdom,English,https://www.tandfonline.com/toc/yenv20/current
European Journal of Archaeology,1461-9571,1741-2722,Maney Publishing,,United Kingdom,English,http://www.maneyonline.com/loi/EJA
Heritage Science,,2050-7445,Springer,,United Kingdom,English,https://heritagesciencejournal.springeropen.com/
Hesperia,0018-098X,1553-5622,,American School of Classical Studies at Athens,United States,English,http://www.ascsa.edu.gr/index.php/publications/hesperia_new
Historical Archaeology,0440-9213,2328-1103,Springer,Society for Historical Archaeology,United States,English,https://link.springer.com/journal/41636
International Journal of Historical Archaeology,1092-7697,1573-7748,Springer,,Netherlands,English,https://www.springer.com/journal/10761
Israel Exploration Journal,0021-2059,,,Israel Exploration Society,Israel,English,http://israelexplorationsociety.huji.ac.il/iej.htm
Jahrbuch des Deutschen Archäologischen Instituts,0070-4415,2702-444X,Walter de Gruyter (De Gruyter),,Germany,German,https://www.degruyter.com/serial/JDAI-B/html
Journal of African Archaeology,1612-1651,2191-5784,,Africa Magna Verlag,Germany,Multiple languages,http://www.african-archaeology.de/
Journal of Archaeological Method and Theory,1072-5369,1573-7764,Springer,,United States,English,http://www.springer.com/social+sciences/anthropology+&+archaeology/journal/10816
Journal of Archaeological Research,1059-0161,1573-7756,Springer,,Netherlands,English,http://www.springerlink.com/content/104889/
Journal of Archaeological Science,0305-4403,1095-9238,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/03054403
Journal of Cultural Heritage,1296-2074,1778-3674,Elsevier,,France,English,http://www.sciencedirect.com/science/journal/12962074
Journal of Egyptian Archaeology (JEA),0307-5133,2514-0582,Sage Publications,,United Kingdom,English,https://journals.sagepub.com/home/egaa
Journal of Field Archaeology,0093-4690,2042-4582,Taylor & Francis,,United Kingdom,English,https://www.tandfonline.com/toc/yjfa20/current
Journal of material culture,1359-1835,1460-3586,Sage Publications,,United Kingdom,English,http://mcu.sagepub.com/
Journal of the American Institute for Conservation,0197-1360,1945-2330,Taylor & Francis,,United Kingdom,English,https://www.tandfonline.com/toc/yjac20/current
Journal of World Prehistory,0892-7537,1573-7802,Springer,,United States,English,http://www.springer.com/social+sciences/anthropology+&+archaeology/journal/10963
Latin American Antiquity,1045-6635,2325-5080,,Cambridge University Press/Society for American Archaeology,United States,Multiple languages,https://www.cambridge.org/core/journals/latin-american-antiquity
Medieval Archaeology,0076-6097,1745-817X,Taylor & Francis,,United Kingdom,English,https://www.tandfonline.com/toc/ymed20/current
"Mitteilungen des Deutschen Archäologischen Instituts, Abteilung Kairo",0342-1279,,Harrassowitz Verlag,,Germany,Multiple languages,https://www.dainst.org/-/mitteilungen-des-deutschen-archaologischen-instituts-abteilung-kairo
"Mitteilungen des Deutschen archäologischen Instituts, Athenische Abteilung",0342-1295,,Deutsches Archäologisches Institut,,Germany,German,https://www.dainst.org/-/athenische-mitteilungen
"Mitteilungen des Deutschen archäologischen Instituts, Römische Abteilung",0342-1287,,Verlag Schnell + Steiner GmbH,Deutschen Archäologischen Instituts,Germany,German,https://www.dainst.org/publikationen/zeitschriften/roemische-mitteilungen
Museum International,1350-0775,1468-0033,Taylor & Francis,,United Kingdom,English,https://www.tandfonline.com/toc/rmil20/current
Oxford Journal of Archaeology,0262-5253,1468-0092,John Wiley & Sons,,United Kingdom,English,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0092
Post-Medieval Archaeology,0079-4236,1745-8137,Taylor & Francis,,United Kingdom,English,https://www.tandfonline.com/toc/ypma20/current
Studies in Conservation,0039-3630,2047-0584,Taylor & Francis,,United Kingdom,English,https://www.tandfonline.com/toc/ysic20/current
World archaeology,0043-8243,1470-1375,Routledge,,United Kingdom,English,http://www.tandfonline.com/loi/rwar20
Art History,0141-6790,1467-8365,Blackwell Publishing,,United Kingdom,English,http://www.blackwellpublishing.com/journal.asp?ref=0141-6790&site=1
Art Journal,0004-3249,2325-5307,,College Art Association,United States,English,http://www.tandfonline.com/loi/rcaj20
Arte Medievale,0393-7267,,Silvana Editoriale,,Italy,Italian,http://www.silvanaeditoriale.it/catalogo/categoria.asp?id=55
Critical Inquiry,0093-1896,1539-7858,University of Chicago Press,,United States,English,http://criticalinquiry.uchicago.edu/
Fashion Theory,1362-704X,1751-7419,Routledge,,United Kingdom,English,http://www.tandfonline.com/toc/rfft20/current
Grey Room,1526-3819,1536-0105,MIT Press,,United States,English,http://www.mitpressjournals.org/loi/grey
History of Photography,0308-7298,2150-7295,Taylor & Francis,,United Kingdom,English,http://www.tandf.co.uk/journals/titles/03087298.asp
Journal of Aesthetics and Art Criticism,0021-8529,1540-6245,Blackwell Publishing,,United States,English,http://www.blackwellpublishing.com/journal.asp?ref=0021-8529&site=1
Journal of Art History,0023-3609,1651-2294,Taylor & Francis,Konsthistoriska Sällskapet (The Society of Art Historians),United Kingdom,Multiple languages,http://www.tandfonline.com/loi/skon20
Journal of Design History,0952-4649,1741-7279,Oxford University Press,,United Kingdom,English,http://jdh.oxfordjournals.org/
Journal of Modern Craft,1749-6772,1749-6780,Taylor & Francis,,United Kingdom,English,https://www.tandfonline.com/toc/rfmc20/current
Journal of the Warburg and Courtauld Institutes,0075-4390,2044-0014,,"Warburg Institute, University of London",United Kingdom,English,http://warburg.sas.ac.uk/publications/journal/
"Leonardo: Journal of the International Society for the Arts, Sciences and Technology",0024-094X,1530-9282,MIT Press,,United States,English,http://www.mitpressjournals.org/loi/leon
October,0162-2870,1536-013X,MIT Press,,United States,English,http://www.mitpressjournals.org/loi/octo
Oxford Art Journal,0142-6540,1741-7287,Oxford University Press,,United Kingdom,English,http://oaj.oxfordjournals.org
Revue de l'Art,0035-1326,1953-812X,,Comité français d'histoire de l'art,France,French,http://www.ophrys.fr/fr/rechercher/recherche/revue-de-l-art.html
The Art Bulletin,0004-3079,1559-6478,Taylor & Francis,,United States,English,http://www.tandfonline.com/loi/rcab20
The Burlington Magazine,0007-6287,2044-9925,,,United Kingdom,English,http://www.burlington.org.uk/
"The Journal of Arts Management, Law, and Society",1063-2921,1930-7799,Routledge,,United States,English,http://www.tandf.co.uk/journals/titles/10632921.asp
Zeitschrift für Kunstgeschichte,0044-2992,,,Deutscher Kunstverlag GmbH Berlin München,Germany,Multiple languages,https://www.degruyter.com/view/j/zkg
Zeitschrift für Ästhetik und allgemeine Kunstwissenschaft,0044-2186,2366-0740,Felix Meiner Verlag,,Germany,Multiple languages,http://www.ingentaconnect.com/content/meiner/zaek
Dance chronicle,0147-2526,1532-4257,,,,,http://www.routledge.com/
Design and Culture,1754-7075,1754-7083,Taylor & Francis,,United Kingdom,English,https://www.tandfonline.com/toc/rfdc20/current
Design Issues,0747-9360,1531-4790,MIT Press,,United States,English,http://www.mitpressjournals.org/loi/desi
Design Studies,0142-694X,1872-6909,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/0142694X
Environment and planning. B: Urban analytics and city science,2399-8083,2399-8091,,Sage,Netherlands,English,https://www.eandponline.org/
Future Anterior,1549-9715,1934-6026,University of Minnesota Press,,United States,English,https://www.upress.umn.edu/journal-division/journals/future-anterior
International Journal of Design,1991-3761,1994-036X,,Chinese Institute of Design,Taiwan,English,http://www.ijdesign.org/index.php/IJDesign
Journal of Architectural Conservation,1355-6207,2326-6384,Taylor & Francis,,United Kingdom,English,http://www.tandfonline.com/loi/raco20
Journal of Architecture,1360-2365,1466-4410,Taylor & Francis,,United Kingdom,English,http://www.tandf.co.uk/journals/routledge/13602365.html
Journal of Landscape Architecture (JoLA),1862-6033,2164-604X,Taylor & Francis,,United Kingdom,English,https://www.tandfonline.com/toc/rjla20/current
Journal of the Society of Architectural Historians (JSAH),0037-9808,2150-5926,University of California Press,Society of Architectural Historians,United States,English,http://jsah.ucpress.edu/
Landscape and Urban Planning,0169-2046,1872-6062,Elsevier,,Netherlands,English,https://www.sciencedirect.com/journal/landscape-and-urban-planning
Landscape Research,0142-6397,1469-9710,Taylor & Francis,,United Kingdom,English,https://www.tandfonline.com/toc/clar20/current
Nordic Journal of Architectural Research,,1893-5281,SINTEF Academic Press,,Norway,English,http://arkitekturforskning.net/na/index
Research in Dance Education,1464-7893,1470-1111,,,,,http://www.routledge.com/
Brill's Tibetan Studies Library (BTSL),1568-6183,,Brill Academic Publishers,,Netherlands,English,https://brill.com/view/serial/BTSL
British Journal of Middle Eastern Studies,1353-0194,1469-3542,Routledge,,United Kingdom,English,http://www.tandfonline.com/toc/cbjm20/current
Harvard Journal of Asiatic Studies,0073-0548,1944-6454,,Harvard-Yenching Institute,United States,English,http://www.hjas.org/
International Journal of Korean History (IJKH),1598-2041,2508-5921,,"Center for Korean History, Institute of Korean Culture",,Multiple languages,https://ijkh.khistory.org/
International Journal of Middle East Studies,0020-7438,1471-6380,Cambridge University Press,,United States,English,http://journals.cambridge.org/action/displayJournal?jid=MES
Islamic Law and Society,0928-9380,1568-5195,Brill Academic Publishers,,Netherlands,English,http://booksandjournals.brillonline.com/content/journals/15685195
Japan Review,0915-0986,2434-3129,,International Research Center for Japanese Studies,Japan,English,http://publications.nichibun.ac.jp/pc1/en/data/jare/
Journal of Arabic Literature,0085-2376,1570-064X,Brill Academic Publishers,,Netherlands,English,http://booksandjournals.brillonline.com/content/journals/1570064x
Journal of Asian Studies,0021-9118,1752-0401,Cambridge University Press,,United States,English,http://journals.cambridge.org/action/displayJournal?jid=JAS
Journal of Chinese Linguistics,0091-3723,,Chinese University Press,,Hong Kong,English,http://www.cuhk.edu.hk/journal/jcl/
Journal of East Asian linguistics,0925-8558,1572-8560,Springer,,Netherlands,English,http://www.springerlink.com/content/102930/
Journal of Japanese Studies,0095-6848,1549-4721,,Society for Japanese Studies,United States,English,http://depts.washington.edu/jjs/
Journal of the Economic and Social History of the Orient,0022-4995,1568-5209,Brill Academic Publishers,,Netherlands,English,http://www.brill.com/journal-economic-and-social-history-orient
Modern China,0097-7004,1552-6836,Sage Publications,,United States,English,http://mcx.sagepub.com
Monumenta Nipponica,0027-0741,1880-1390,,Sophia University,Japan,English,http://dept.sophia.ac.jp/monumenta/
Monumenta Serica: Journal of Oriental Studies,0254-9948,2057-1690,Taylor & Francis,"Monumenta Serica Institute, Sankt Augustin, Germany",Germany,Multiple languages,http://www.tandfonline.com/toc/ymon20/current
Oriente Moderno,0030-5472,2213-8617,Brill Academic Publishers,,Netherlands,Multiple languages,http://booksandjournals.brillonline.com/content/journals/22138617
Sinica Leidensia,0169-9563,,Brill Academic Publishers,,Netherlands,Dutch,https://brill.com/view/serial/SINL
Studia Islamica,0585-5292,1958-5705,Brill Academic Publishers,,Netherlands,Multiple languages,http://www.brill.com/publications/journals/studia-islamica
The China Journal,1324-9347,1835-8535,University of Chicago Press,,Australia,English,https://www.journals.uchicago.edu/journals/tcj/about?mobileUi=0
The China Quarterly,0305-7410,1468-2648,Cambridge University Press,,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=CQY
T'oung pao (Print),0082-5433,1568-5322,Brill Academic Publishers,,Netherlands,Multiple languages,http://www.brill.com/toung-pao
Turkic Languages,1431-4983,,Harrassowitz Verlag,,Germany,Multiple languages,http://turkiclanguages.com/TurkicLanguages.html
American Journal of Philology,0002-9475,1086-3168,Johns Hopkins University Press,,United States,English,http://www.press.jhu.edu/journals/american_journal_of_philology/
Archiv für Papyrusforschung und verwandte Gebiete,0066-6459,1867-1551,Walter de Gruyter (De Gruyter),,Germany,German,http://www.degruyter.com/view/j/afgs
Arethusa,0004-0975,1080-6504,Johns Hopkins University Press,,United States,English,http://muse.jhu.edu/journals/arethusa/
Arion: A Journal of Humanities and the Classics,0095-5809,2327-6436,,Boston University,United States,English,http://www.bu.edu/arion/about/
Bulletin of The American Society of Papyrologists,0003-1186,1938-6958,,American Society of Papyrologists,United States,English,https://poj.peeters-leuven.be/content.php?url=journal&journal_code=BASP
Byzantion,0378-2506,2294-6209,Peeters Publishers,,Belgium,Multiple languages,http://poj.peeters-leuven.be/content.php?url=journal&journal_code=BYZ
Classica et Mediaevalia,0106-5815,1604-9411,,Museum Tusculanum Press,Denmark,English,https://www.mtp.dk/tidsskrift.asp?issn=0106-5815
Classical Antiquity,0278-6656,1067-8344,University of California Press,,United States,English,http://ca.ucpress.edu/
Classical Philology,0009-837X,1546-072X,University of Chicago Press,,United States,English,https://www.journals.uchicago.edu/journals/cp/about
Classical Quarterly,0009-8388,1471-6844,Cambridge University Press,The Classical Association,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=CAQ
Filologia Mediolatina: Rivista della Fondazione Ezio Franceschini,1124-0008,,Medieval culture publications,,Italy,Italian,http://www.sismel.it/tilist.asp
Glotta: Zeitschrift für Griechische und Lateinische Sprache,0017-1298,2196-9043,Vandenhoeck & Ruprecht,,Germany,German,https://www.vandenhoeck-ruprecht-verlage.com/zeitschriften-und-kapitel/9485/glotta
Greece and Rome,0017-3835,1477-4550,Cambridge University Press,,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=GAR
"Greek, Roman and Byzantine Studies",0017-3916,2159-3159,Duke University Press,,United States,English,http://grbs.library.duke.edu/index
Harvard Studies in Classical Philology,0073-0688,2325-9353,Harvard University Press (HUP),,United States,English,http://www.hup.harvard.edu/collection.php?cpk=1051
Hermes: Zeitschrift für Klassische Philologie,0018-0777,2365-3116,Franz Steiner Verlag,,Germany,Multiple languages,http://www.steiner-verlag.de/programm/zeitschriften/hermes/
Humanistica Lovaniensia. Journal of Neo-Latin Studies,0774-2908,2593-3019,,KU Leuven,Belgium,Multiple languages,http://www.humanistica.be/index.php/humanistica/index
Jahrbuch der Østerreichischen Byzantinistik,0378-8660,1810-536X,Austrian Academy of Sciences Press,,Austria,Multiple languages,http://www.austriaca.at/j%C3%B6b
Journal of Greek Linguistics,1566-5844,1569-9846,Brill Academic Publishers,,Netherlands,English,http://booksandjournals.brillonline.com/content/journals/15699846
Journal of Hellenic Studies,0075-4269,2041-4099,Cambridge University Press,,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=JHS
Journal of Roman Studies,0075-4358,1753-528X,Cambridge University Press,,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=JRS
Kernos: Revue internationale et pluridisciplinaire de religion grecque antique,0776-3824,2034-7871,,Université de Liège,Belgium,Multiple languages,https://kernos.revues.org
L'Antiquité Classique,0770-2817,2295-9076,,Association Belge L'Antiquite Classique,Belgium,Multiple languages,http://pot-pourri.fltr.ucl.ac.be/antclas/AC_Presentation.htm
Latomus: Revue et collection d'études latines,0023-8856,2294-4427,,Société d’Études Latines de Bruxelles,Belgium,Multiple languages,http://www.latomus.be/en/journal/
MATERIALI E DISCUSSIONI PER L'ANALISI DEI TESTI CLASSICI,0392-6338,1724-1693,Fabrizio Serra Editore,,Italy,Italian,http://md.libraweb.net
Métis,1105-2201,1791-7077,,Centre Louis Gernet de Recherches Comparees sur les Societes Anciennes,France,Multiple languages,http://www.anhima.fr/spip.php?article876=&lang=fr
Mittellateinische Studien und Texte,0076-9754,,Brill Academic Publishers,,Netherlands,German,https://brill.com/view/serial/MITS
Mittellateinisches Jahrbuch,0076-9762,,,Anton Hiersemann Verlag,Germany,German,https://www.hiersemann.de/reihen/mittellateinisches-jahrbuch/
Mnemosyne: A Journal of Classical Studies,0026-7074,1568-525X,Brill Academic Publishers,,Netherlands,Multiple languages,http://www.brill.com/mnem
Philologus (Berlin),0031-7985,2196-7008,Walter de Gruyter (De Gruyter),,Germany,Multiple languages,http://www.degruyter.com/view/j/phil
Phoenix,0031-8299,1929-4883,University of Toronto Press,Classical Association of Canada,Canada,Multiple languages,http://phoenix.chass.utoronto.ca/
QUADERNI URBINATI DI CULTURA CLASSICA,0033-4987,1724-1901,Fabrizio Serra Editore,,Italy,Multiple languages,http://qucc.libraweb.net
Ramus - Critical Studies in Greek and Roman Literature,0048-671X,2202-932X,Cambridge University Press,,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=RMU
"Revue de philologie, de littérature et d'histoire anciennes (RPh)",0035-1652,1760-8430,Éditions Klincksieck,,France,French,http://www.cairn.info/revue-de-philologie-litterature-et-histoire-anciennes.htm
Revue des études byzantines,0766-5598,2261-060X,Peeters Publishers,,France,Multiple languages,http://www.icp.fr/recherche/chaires-et-instituts/institut-francais-d-etudes-byzantines-ifeb-/revue-des-etudes-byzantines-1271.kjsp?RH=1429797005887
Rheinisches Museum für Philologie,0035-449X,,,J. D. Sauerländer's Verlag,Germany,Multiple languages,http://rhm.phil-fak.uni-koeln.de
Rhetorica: A Journal of the History of Rhetoric,0734-8584,1533-8541,University of California Press,International Society for the History of Rhetoric,United States,Multiple languages,http://rh.ucpress.edu
RIVISTA DI CULTURA CLASSICA E MEDIOEVALE,0035-6085,1724-062X,Fabrizio Serra Editore,,Italy,Multiple languages,http://rccm.libraweb.net
Texte und Untersuchungen zur Geschichte der altchristlichen Literatur,0082-3589,2569-4839,Walter de Gruyter (De Gruyter),,Germany,German,https://www.degruyter.com/serial/TU-B/html
The Classical Journal,0009-8353,2327-5812,,Classical Association of the Middle West and South,United States,English,https://cj.camws.org
Transactions of the American Philological Association (1974),0360-5949,1533-0699,Johns Hopkins University Press,,United States,English,http://www.press.jhu.edu/journals/transactions_of_the_american_philological_association/
"TYCHE – Contributions to Ancient History, Papyrology and Epigraphy",1010-9161,2409-5540,,Verlag Holzhausen GmbH,Austria,Multiple languages,https://tyche-journal.at/tyche/index.php/tyche
Wiener Studien : Zeitschrift fyr klassische Philologie und Patristik,0084-005X,1813-3924,Austrian Academy of Sciences Press,,Austria,Multiple languages,http://hw.oeaw.ac.at/wiener_studien_collection?frames=yes
Yale Classical Studies,0084-330X,,Cambridge University Press,,United Kingdom,English,https://www.cambridge.org/core/series/yale-classical-studies/00D00A96E5325197B8D608732D86EFA4?p=3
Zeitschrift für Papyrologie und Epigraphik,0084-5388,,Verlag Dr. Rudolf Habelt GMBH,,Germany,Multiple languages,http://ifa.phil-fak.uni-koeln.de/zpe.html
American Literary History,0896-7148,1468-4365,Oxford University Press,,United States,English,http://alh.oxfordjournals.org/
American Literature,0002-9831,1527-2117,Duke University Press,,United States,English,http://americanliterature.dukejournals.org/
American Quarterly,0003-0678,1080-6490,Johns Hopkins University Press,,United States,English,http://www.press.jhu.edu/journals/american_quarterly/index.html
ELH: English literary history,0013-8304,1080-6547,Johns Hopkins University Press,,United States,English,https://www.press.jhu.edu/journals/elh
English Language and Linguistics,1360-6743,1469-4379,Cambridge University Press,,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=ELL
English World-Wide,0172-8865,1569-9730,John Benjamins Publishing Company,,Netherlands,English,http://www.benjamins.com/cgi-bin/t_seriesview.cgi?series=EWW
Journal of English for Academic Purposes,1475-1585,1878-1497,Pergamon Press,,United Kingdom,English,http://www.sciencedirect.com/science/journal/14751585
Journal of English Linguistics,0075-4242,1552-5457,Sage Publications,,United States,English,http://eng.sagepub.com/
Language and Literature,0963-9470,1461-7293,Sage Publications,,United States,English,http://lal.sagepub.com/
Language Teaching,0261-4448,1475-3049,Cambridge University Press,,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=LTA
Modernist Cultures,2041-1022,1753-8629,Edinburgh University Press,,United Kingdom,English,http://www.euppublishing.com/loi/mod
Narrative,1063-3685,1538-974X,Ohio State University Press,,United States,English,https://ohiostatepress.org/Narrative.html
Publications of the Modern Language Association of America,0030-8129,1938-1530,,Modern Language Association,United States,English,https://www.mla.org/Publications/Journals/PMLA
Shakespeare Quarterly,0037-3222,1538-3555,Johns Hopkins University Press,,United States,English,https://academic.oup.com/sq
Studies in English Literature 1500-1900,0039-3657,1522-9270,Johns Hopkins University Press,,United States,English,https://www.press.jhu.edu/journals/studies_in_english_literature/
Studies in Second Language Acquisition,0272-2631,1470-1545,Cambridge University Press,,United States,English,http://www.cambridge.org/journals/journal_catalogue.asp?mnemonic=SLA
TESOL Quarterly,0039-8322,1545-7249,John Wiley & Sons,TESOL International Association,United States,English,https://onlinelibrary.wiley.com/journal/15457249
The Modern Language Journal,0026-7902,1540-4781,John Wiley & Sons,National Federation of Modern Language Teachers’ Associations,United States,English,https://onlinelibrary.wiley.com/journal/15404781
Arv. Nordic Yearbook of Folklore,0066-8176,2002-4185,,Kungl. Gustav Adolfs Akademien för svensk folkkultur,Sweden,Multiple languages,https://gustavadolfsakademien.se/en/tidskrifter/tidskrift/arv
Cultural Analysis,2572-0643,1537-7873,,"University of California, Berkeley",United States,English,http://socrates.berkeley.edu/~caforum/
Cultural History,2045-290X,2045-2918,Edinburgh University Press,,United Kingdom,English,http://www.euppublishing.com/journal/cult
Ethnologia Europaea,0425-4597,1604-3030,,Berghahn Journals,Denmark,Multiple languages,https://www.berghahnjournals.com/
Ethnologia Scandinavica. A Journal for Nordic Ethnology,0348-9698,,,Kungl. Gustav Adolfs Akademien för svensk folkkult,Sweden,English,http://gustavadolfsakademien.se/tidskrifter/tidskrift/ethnologia-scandinavica
Fabula,0014-6242,1613-0464,Walter de Gruyter (De Gruyter),,Germany,German,http://www.degruyter.com/view/j/fabl
FF communications,0014-5815,,,,Finland,,http://www.folklorefellows.fi/comm/comm.html
Folklore,0015-587X,1469-8315,Routledge,,United Kingdom,English,http://www.tandfonline.com/toc/rfol20/current
International journal of cultural studies,1367-8779,1460-356X,Sage Publications,,United Kingdom,,http://www.sagepub.com/journal.aspx?pid=196
Journal of American Folklore,0021-8715,1535-1882,University of Illinois Press,,United States,English,http://muse.jhu.edu/journals/jaf/
Journal of Folklore Research,0737-7037,1543-0413,Indiana University Press,,United States,English,https://scholarworks.iu.edu/journals/index.php/jfr/
Museum and Society (M&S),,1479-8360,,University of Leicester,United Kingdom,English,https://journals.le.ac.uk/ojs1/index.php/mas/index
Narrative Inquiry,1387-6740,1569-9935,John Benjamins Publishing Company,,Netherlands,English,http://www.benjamins.com/cgi-bin/t_seriesview.cgi?series=NI
Western Folklore,0043-373X,2325-811X,University of California Press,,United States,English,https://www.westernfolklore.org/WesternFolklore.htm
Beiträge zur Geschichte der Deutschen Sprache und Literatur,0005-8076,1865-9373,Walter de Gruyter (De Gruyter),,Germany,Multiple languages,http://www.degruyter.com/view/j/bgsl
Deutsch als Fremdsprache,0011-9741,,Erich Schmidt Verlag,,Germany,German,https://www.dafdigital.de/
Deutsche Sprache,0340-9341,,Erich Schmidt Verlag,Instituts für Deutsche Sprache,Germany,German,http://www.dsdigital.de
Euphorion,0014-2328,,Universitätsverlag Winter,,Germany,German,http://www.winter-verlag.de/en/programm/zeitschriften/euphorion/
Wirkendes Wort,0935-879X,,Wissenschaftlicher Verlag Trier,,Germany,German,http://www.wvttrier.de/top/Beschreibungen/ww.html
Zeitschrift für Germanistik,0323-7982,2235-1272,Peter Lang Publishing Group,,Switzerland,Multiple languages,https://www.projekte.hu-berlin.de/de/zfgerm
Zeitschrift für germanistische Linguistik,0301-3294,1613-0626,Walter de Gruyter (De Gruyter),,Germany,Multiple languages,http://www.degruyter.com/view/j/zfgl
Zeitschrift für Literaturwissenschaft und Linguistik (LiLi),0049-8653,2365-953X,Springer,,Germany,German,https://www.springer.com/journal/41244
Zeitschrift für Sprachwissenschaft,0721-9067,1613-3706,Walter de Gruyter (De Gruyter),Deutsche Gesellschaft für Sprachwissenschaft,Germany,Multiple languages,http://www.degruyter.com/view/j/zfsw
Agricultural History Review,0002-1490,,,British Agricultural History Society,United Kingdom,English,http://www.bahs.org.uk/AGHRvolumes.html
American Historical Review,0002-8762,1937-5239,Oxford University Press,,United States,English,http://www.oxfordjournals.org/our_journals/ahr/about.html
"Annales: Histoire, Sciences Sociales",0395-2649,1953-8146,Armand Colin,,France,French,http://annales.ehess.fr
Annals of Science,0003-3790,1464-505X,Taylor & Francis,,United States,English,http://www.tandfonline.com/toc/tasc20/current
Archives and records,2325-7962,2325-7989,Routledge,,United Kingdom,English,http://www.tandfonline.com/loi/cjsa21
British Journal for the History of Science,0007-0874,1474-001X,Cambridge University Press,,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=BJH
Central European History,0008-9389,1569-1616,Cambridge University Press,,United States,English,http://journals.cambridge.org/action/displayJournal?jid=CCC
Cold War History,1468-2745,1743-7962,Routledge,,United Kingdom,English,http://www.tandfonline.com/toc/fcwh20/current
Contemporary European History,0960-7773,1469-2171,Cambridge University Press,,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=CEH
Diplomatic History,0145-2096,1467-7709,Oxford University Press,,United States,English,http://dh.oxfordjournals.org/
